exchange,market_type,symbol,timestamp_ms,sum_open_interest,sum_open_interest_value
binance,usdm_futures,BTCUSDT,1778988600000,102542.63400000,7995044087.71200000
binance,usdm_futures,BTCUSDT,1778989500000,102551.45000000,7998645777.79835000
binance,usdm_futures,BTCUSDT,1778990400000,102525.54500000,7996181982.54534800
binance,usdm_futures,BTCUSDT,1778991300000,102529.24100000,7998408619.65100000
binance,usdm_futures,BTCUSDT,1778992200000,102496.02500000,8000173487.33750000
binance,usdm_futures,BTCUSDT,1778993100000,102465.83500000,8007526334.53450700
binance,usdm_futures,BTCUSDT,1778994000000,102457.26700000,8004393713.56114800
binance,usdm_futures,BTCUSDT,1778994900000,102379.72500000,8006778896.04319000
binance,usdm_futures,BTCUSDT,1778995800000,102398.09700000,8001592095.77400000
binance,usdm_futures,BTCUSDT,1778996700000,102416.18300000,8000106994.00710000
binance,usdm_futures,BTCUSDT,1778997600000,102480.45700000,8002457792.46052400
binance,usdm_futures,BTCUSDT,1778998500000,102458.24700000,8007158390.65043100
binance,usdm_futures,BTCUSDT,1778999400000,102460.19000000,7996767981.78571800
binance,usdm_futures,BTCUSDT,1779000300000,102435.02900000,7990715908.40093600
binance,usdm_futures,BTCUSDT,1779001200000,102443.64900000,7997929342.90350000
binance,usdm_futures,BTCUSDT,1779002100000,102431.47000000,7995526716.78481300
binance,usdm_futures,BTCUSDT,1779003000000,102428.37300000,7997497740.24458800
binance,usdm_futures,BTCUSDT,1779003900000,102401.68000000,7998984351.18400000
binance,usdm_futures,BTCUSDT,1779004800000,102409.31900000,8002179598.40485000
binance,usdm_futures,BTCUSDT,1779005700000,102451.49700000,8002086869.83170000
binance,usdm_futures,BTCUSDT,1779006600000,102480.42800000,7996885982.25240000
binance,usdm_futures,BTCUSDT,1779007500000,102475.27200000,7999701366.09840000
binance,usdm_futures,BTCUSDT,1779008400000,102487.40800000,7999225564.19328900
binance,usdm_futures,BTCUSDT,1779009300000,102465.21400000,8001664104.06964300
binance,usdm_futures,BTCUSDT,1779010200000,102456.04600000,8001352004.28647900
binance,usdm_futures,BTCUSDT,1779011100000,102429.95600000,7998107897.43997500
binance,usdm_futures,BTCUSDT,1779012000000,102341.72100000,8004586068.81030000
binance,usdm_futures,BTCUSDT,1779012900000,102400.89800000,8028924627.86179500
