exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count
binance,usdm_futures,BTCUSDT,1m,1778841540000,1778841599999,80450.10,80456.90,80450.00,80455.00,15.872,1276957.89550,510
binance,usdm_futures,BTCUSDT,1m,1778841600000,1778841659999,80454.90,80454.90,80400.00,80410.30,110.467,8884344.32680,2452
binance,usdm_futures,BTCUSDT,1m,1778841660000,1778841719999,80410.30,80417.30,80400.00,80403.30,57.383,4614300.65190,1231
binance,usdm_futures,BTCUSDT,1m,1778841720000,1778841779999,80403.20,80430.10,80403.20,80430.10,34.915,2807650.00110,1085
binance,usdm_futures,BTCUSDT,1m,1778841780000,1778841839999,80430.00,80430.10,80425.70,80430.00,12.631,1015897.17550,470
binance,usdm_futures,BTCUSDT,1m,1778841840000,1778841899999,80430.00,80488.00,80410.40,80488.00,93.536,7524254.85810,2493
binance,usdm_futures,BTCUSDT,1m,1778841900000,1778841959999,80488.00,80552.00,80476.10,80551.10,141.315,11378335.89950,4294
binance,usdm_futures,BTCUSDT,1m,1778841960000,1778842019999,80551.10,80635.90,80551.00,80574.70,200.928,16195682.34260,6109
binance,usdm_futures,BTCUSDT,1m,1778842020000,1778842079999,80574.70,80654.20,80573.20,80639.80,254.480,20514989.97650,5159
binance,usdm_futures,BTCUSDT,1m,1778842080000,1778842139999,80639.90,80649.50,80620.00,80631.00,64.907,5233600.91670,2177
binance,usdm_futures,BTCUSDT,1m,1778842140000,1778842199999,80631.00,80666.00,80567.30,80572.80,154.005,12417502.71030,4167
binance,usdm_futures,BTCUSDT,1m,1778842200000,1778842259999,80572.80,80665.90,80572.70,80621.90,93.314,7524106.46010,3369
binance,usdm_futures,BTCUSDT,1m,1778842260000,1778842319999,80621.90,80724.00,80612.90,80719.30,322.359,26009914.34960,6634
binance,usdm_futures,BTCUSDT,1m,1778842320000,1778842379999,80719.30,80726.90,80698.20,80703.00,106.522,8597821.12980,2900
binance,usdm_futures,BTCUSDT,1m,1778842380000,1778842439999,80703.00,80730.00,80703.00,80727.10,55.695,4495599.90220,2084
binance,usdm_futures,BTCUSDT,1m,1778842440000,1778842499999,80727.10,80727.10,80700.00,80702.90,60.343,4870635.71620,1760
binance,usdm_futures,BTCUSDT,1m,1778842500000,1778842559999,80702.90,80713.70,80699.50,80704.10,68.139,5499147.41070,1147
binance,usdm_futures,BTCUSDT,1m,1778842560000,1778842619999,80704.10,80704.10,80672.50,80676.20,57.154,4611226.19020,1372
binance,usdm_futures,BTCUSDT,1m,1778842620000,1778842679999,80676.20,80708.20,80676.20,80682.10,60.549,4885863.24420,2678
binance,usdm_futures,BTCUSDT,1m,1778842680000,1778842739999,80682.10,80686.60,80680.00,80680.00,36.985,2984111.10160,687
binance,usdm_futures,BTCUSDT,1m,1778842740000,1778842799999,80680.00,80680.10,80654.10,80670.10,52.588,4241870.37820,1319
binance,usdm_futures,BTCUSDT,1m,1778842800000,1778842859999,80670.20,80716.90,80670.20,80701.70,97.669,7882134.71250,2268
binance,usdm_futures,BTCUSDT,1m,1778842860000,1778842919999,80701.70,80706.10,80683.10,80683.10,67.090,5414295.36580,1055
binance,usdm_futures,BTCUSDT,1m,1778842920000,1778842979999,80683.10,80683.10,80612.00,80629.70,70.146,5656078.99110,2500
binance,usdm_futures,BTCUSDT,1m,1778842980000,1778843039999,80629.70,80643.10,80629.40,80632.10,27.339,2204448.40360,1057
binance,usdm_futures,BTCUSDT,1m,1778843040000,1778843099999,80632.00,80632.10,80585.00,80585.00,91.852,7403685.18960,2200
binance,usdm_futures,BTCUSDT,1m,1778843100000,1778843159999,80585.00,80596.50,80572.70,80596.50,47.651,3840016.35260,1667
binance,usdm_futures,BTCUSDT,1m,1778843160000,1778843219999,80596.50,80613.80,80590.30,80590.30,45.457,3663969.62170,1160
binance,usdm_futures,BTCUSDT,1m,1778843220000,1778843279999,80590.40,80590.40,80572.00,80572.10,35.010,2820922.93740,781
binance,usdm_futures,BTCUSDT,1m,1778843280000,1778843339999,80572.00,80576.40,80572.00,80576.30,19.410,1563929.68470,545
binance,usdm_futures,BTCUSDT,1m,1778843340000,1778843399999,80576.40,80576.40,80546.40,80559.70,36.475,2938386.55960,1330
binance,usdm_futures,BTCUSDT,1m,1778843400000,1778843459999,80559.70,80601.00,80547.10,80601.00,42.137,3395166.67320,1594
