exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close
binance,usdm_futures,BTCUSDT,1m,1778841540000,1778841599999,80452.22326087,80456.90000000,80451.21857971,80455.65494203
binance,usdm_futures,BTCUSDT,1m,1778841600000,1778841659999,80455.16773613,80455.16773613,80405.70581884,80409.09410145
binance,usdm_futures,BTCUSDT,1m,1778841660000,1778841719999,80410.20000000,80417.30000000,80405.60084058,80405.60518841
binance,usdm_futures,BTCUSDT,1m,1778841720000,1778841779999,80404.88255072,80430.10000000,80404.86885507,80430.10000000
binance,usdm_futures,BTCUSDT,1m,1778841780000,1778841839999,80430.10000000,80431.38722464,80428.40000000,80430.00000000
binance,usdm_futures,BTCUSDT,1m,1778841840000,1778841899999,80430.12325362,80474.70000000,80414.70000000,80474.60000000
binance,usdm_futures,BTCUSDT,1m,1778841900000,1778841959999,80479.90000000,80541.00000000,80479.90000000,80535.90000000
binance,usdm_futures,BTCUSDT,1m,1778841960000,1778842019999,80551.00000000,80635.90000000,80551.00000000,80575.51907971
binance,usdm_futures,BTCUSDT,1m,1778842020000,1778842079999,80574.70000000,80654.67681884,80574.70000000,80654.67681884
binance,usdm_futures,BTCUSDT,1m,1778842080000,1778842139999,80653.13761594,80653.13761594,80627.82499275,80627.82499275
binance,usdm_futures,BTCUSDT,1m,1778842140000,1778842199999,80628.05542754,80666.00000000,80587.01105072,80587.01105072
binance,usdm_futures,BTCUSDT,1m,1778842200000,1778842259999,80582.00142029,80659.30000000,80574.18163768,80633.91807246
binance,usdm_futures,BTCUSDT,1m,1778842260000,1778842319999,80633.91807246,80722.00000000,80618.49968116,80719.84917541
binance,usdm_futures,BTCUSDT,1m,1778842320000,1778842379999,80718.19547976,80727.97324588,80699.88846327,80703.42262369
binance,usdm_futures,BTCUSDT,1m,1778842380000,1778842439999,80703.42262369,80730.00000000,80703.38337681,80727.00000000
binance,usdm_futures,BTCUSDT,1m,1778842440000,1778842499999,80727.10000000,80727.10000000,80702.43394203,80705.41500000
binance,usdm_futures,BTCUSDT,1m,1778842500000,1778842559999,80705.42152174,80713.70000000,80700.96492754,80707.07797826
binance,usdm_futures,BTCUSDT,1m,1778842560000,1778842619999,80707.08667391,80707.08667391,80673.61362819,80676.30000000
binance,usdm_futures,BTCUSDT,1m,1778842620000,1778842679999,80676.30000000,80703.80849275,80676.20000000,80691.73392754
binance,usdm_futures,BTCUSDT,1m,1778842680000,1778842739999,80691.73892754,80691.73892754,80680.00000000,80680.00000000
binance,usdm_futures,BTCUSDT,1m,1778842740000,1778842799999,80680.10000000,80680.10000000,80656.23870870,80670.10000000
binance,usdm_futures,BTCUSDT,1m,1778842800000,1778842859999,80671.16384058,80716.90000000,80671.16384058,80712.73953623
binance,usdm_futures,BTCUSDT,1m,1778842860000,1778842919999,80712.52214493,80712.52214493,80693.87915942,80693.88959420
binance,usdm_futures,BTCUSDT,1m,1778842920000,1778842979999,80693.09133333,80693.09133333,80615.16642029,80629.70000000
binance,usdm_futures,BTCUSDT,1m,1778842980000,1778843039999,80629.60000000,80643.10000000,80629.60000000,80632.00000000
binance,usdm_futures,BTCUSDT,1m,1778843040000,1778843099999,80632.10000000,80632.19863043,80595.81863768,80595.81863768
binance,usdm_futures,BTCUSDT,1m,1778843100000,1778843159999,80591.21428986,80596.50000000,80575.92801449,80596.50000000
binance,usdm_futures,BTCUSDT,1m,1778843160000,1778843219999,80596.40000000,80613.60000000,80593.98085457,80593.98085457
binance,usdm_futures,BTCUSDT,1m,1778843220000,1778843279999,80593.31737631,80593.31737631,80572.00000000,80572.00000000
binance,usdm_futures,BTCUSDT,1m,1778843280000,1778843339999,80572.10000000,80576.40000000,80572.10000000,80576.30000000
binance,usdm_futures,BTCUSDT,1m,1778843340000,1778843399999,80576.30000000,80576.40000000,80551.04206897,80559.70000000
binance,usdm_futures,BTCUSDT,1m,1778843400000,1778843459999,80559.60000000,80602.22612319,80552.38415942,80602.22612319
binance,usdm_futures,BTCUSDT,1m,1778843460000,1778843519999,80602.30873188,80629.07234633,80594.03944928,80594.03944928
binance,usdm_futures,BTCUSDT,1m,1778843520000,1778843579999,80594.03944928,80615.30000000,80589.28503748,80589.29395052
binance,usdm_futures,BTCUSDT,1m,1778843580000,1778843639999,80589.30699400,80601.60000000,80586.90000000,80601.50000000
binance,usdm_futures,BTCUSDT,1m,1778843640000,1778843699999,80601.50000000,80634.79773188,80601.50000000,80634.79773188
binance,usdm_futures,BTCUSDT,1m,1778843700000,1778843759999,80634.79773188,80663.05826812,80634.22457246,80663.05826812
binance,usdm_futures,BTCUSDT,1m,1778843760000,1778843819999,80663.46478986,80675.80000000,80658.25077536,80661.90000000
binance,usdm_futures,BTCUSDT,1m,1778843820000,1778843879999,80659.45950725,80670.35250725,80658.17113043,80668.12902174
binance,usdm_futures,BTCUSDT,1m,1778843880000,1778843939999,80667.04641304,80667.04641304,80599.84020290,80599.84020290
binance,usdm_futures,BTCUSDT,1m,1778843940000,1778843999999,80599.74237681,80636.80000000,80599.74237681,80621.94318841
binance,usdm_futures,BTCUSDT,1m,1778844000000,1778844059999,80621.94318841,80643.07639855,80621.72457971,80643.06987681
binance,usdm_futures,BTCUSDT,1m,1778844060000,1778844119999,80643.06552899,80643.06552899,80594.90000000,80594.90000000
binance,usdm_futures,BTCUSDT,1m,1778844120000,1778844179999,80594.90000000,80594.90000000,80561.21202174,80561.21202174
binance,usdm_futures,BTCUSDT,1m,1778844180000,1778844239999,80561.21202174,80571.50000000,80559.79897826,80566.40000000
binance,usdm_futures,BTCUSDT,1m,1778844240000,1778844299999,80566.40000000,80576.70000000,80554.75353623,80554.75353623
binance,usdm_futures,BTCUSDT,1m,1778844300000,1778844359999,80552.57527536,80575.10000000,80552.04179710,80562.69084783
binance,usdm_futures,BTCUSDT,1m,1778844360000,1778844419999,80562.66910870,80562.66910870,80548.42928261,80561.60000000
binance,usdm_futures,BTCUSDT,1m,1778844420000,1778844479999,80561.60000000,80572.30000000,80561.50000000,80572.20000000
binance,usdm_futures,BTCUSDT,1m,1778844480000,1778844539999,80572.30000000,80587.31615442,80572.20000000,80586.73114493
binance,usdm_futures,BTCUSDT,1m,1778844540000,1778844599999,80586.75071014,80588.40023913,80586.33778986,80587.22004348
binance,usdm_futures,BTCUSDT,1m,1778844600000,1778844659999,80587.39026087,80597.50000000,80577.60000000,80577.96007971
binance,usdm_futures,BTCUSDT,1m,1778844660000,1778844719999,80577.97442754,80587.50214493,80577.70000000,80585.61563768
binance,usdm_futures,BTCUSDT,1m,1778844720000,1778844779999,80585.67998551,80586.60000000,80576.07687681,80576.07687681
binance,usdm_futures,BTCUSDT,1m,1778844780000,1778844839999,80576.07687681,80576.27667391,80572.20000000,80575.90000000
binance,usdm_futures,BTCUSDT,1m,1778844840000,1778844899999,80575.90000000,80575.90000000,80551.06376087,80565.50000000
binance,usdm_futures,BTCUSDT,1m,1778844900000,1778844959999,80565.60000000,80600.35248876,80565.60000000,80598.20352899
binance,usdm_futures,BTCUSDT,1m,1778844960000,1778845019999,80598.20352899,80611.90000000,80593.90000000,80596.21206897
binance,usdm_futures,BTCUSDT,1m,1778845020000,1778845079999,80594.08598201,80594.08598201,80578.10000000,80578.41742754
binance,usdm_futures,BTCUSDT,1m,1778845080000,1778845139999,80580.80000000,80596.30000000,80568.00000000,80592.90000000
binance,usdm_futures,BTCUSDT,1m,1778845140000,1778845199999,80587.24751449,80587.85726812,80559.00000000,80559.02926537
binance,usdm_futures,BTCUSDT,1m,1778845200000,1778845259999,80559.10000000,80567.90000000,80549.09104928,80567.90000000
binance,usdm_futures,BTCUSDT,1m,1778845260000,1778845319999,80562.10000000,80562.10000000,80545.00000000,80560.80000000
binance,usdm_futures,BTCUSDT,1m,1778845320000,1778845379999,80560.80000000,80592.80000000,80560.70000000,80592.70000000
binance,usdm_futures,BTCUSDT,1m,1778845380000,1778845439999,80592.80000000,80610.10000000,80592.63710145,80597.58650000
binance,usdm_futures,BTCUSDT,1m,1778845440000,1778845499999,80597.49519565,80604.90000000,80580.19853623,80604.90000000
binance,usdm_futures,BTCUSDT,1m,1778845500000,1778845559999,80604.80000000,80620.00000000,80600.44423538,80619.90000000
binance,usdm_futures,BTCUSDT,1m,1778845560000,1778845619999,80620.00000000,80630.00000000,80620.00000000,80630.00000000
binance,usdm_futures,BTCUSDT,1m,1778845620000,1778845679999,80629.90006522,80643.10000000,80629.90000000,80643.10000000
binance,usdm_futures,BTCUSDT,1m,1778845680000,1778845739999,80643.10000000,80666.89890580,80643.00000000,80666.81665942
binance,usdm_futures,BTCUSDT,1m,1778845740000,1778845799999,80666.81970290,80666.90665942,80622.85636957,80622.85636957
binance,usdm_futures,BTCUSDT,1m,1778845800000,1778845859999,80622.85636957,80656.40000000,80620.27586232,80656.40000000
binance,usdm_futures,BTCUSDT,1m,1778845860000,1778845919999,80656.40000000,80664.03363768,80655.67639855,80655.67639855
binance,usdm_futures,BTCUSDT,1m,1778845920000,1778845979999,80655.52313768,80655.52313768,80637.57272464,80637.57272464
binance,usdm_futures,BTCUSDT,1m,1778845980000,1778846039999,80637.12598551,80637.12598551,80608.05828261,80631.70000000
binance,usdm_futures,BTCUSDT,1m,1778846040000,1778846099999,80631.70000000,80638.80000000,80631.70000000,80636.80000000
binance,usdm_futures,BTCUSDT,1m,1778846100000,1778846159999,80638.10000000,80638.80000000,80563.55352174,80563.55352174
binance,usdm_futures,BTCUSDT,1m,1778846160000,1778846219999,80556.79656522,80566.90000000,80546.30000000,80566.90000000
binance,usdm_futures,BTCUSDT,1m,1778846220000,1778846279999,80566.90000000,80582.65311844,80566.80000000,80581.64771014
binance,usdm_futures,BTCUSDT,1m,1778846280000,1778846339999,80581.30000000,80596.40000000,80581.21915942,80584.90000000
binance,usdm_futures,BTCUSDT,1m,1778846340000,1778846399999,80584.90000000,80585.60000000,80579.51294203,80582.77227536
binance,usdm_futures,BTCUSDT,1m,1778846400000,1778846459999,80582.29450000,80596.70000000,80567.83183333,80596.20000000
binance,usdm_futures,BTCUSDT,1m,1778846460000,1778846519999,80596.20000000,80596.30000000,80543.22408696,80543.22473913
binance,usdm_futures,BTCUSDT,1m,1778846520000,1778846579999,80543.23278261,80543.23278261,80482.30695652,80482.66956522
binance,usdm_futures,BTCUSDT,1m,1778846580000,1778846639999,80482.53869565,80500.00000000,80471.38513768,80499.70000000
binance,usdm_futures,BTCUSDT,1m,1778846640000,1778846699999,80499.60000000,80499.70000000,80469.20000000,80469.20000000
binance,usdm_futures,BTCUSDT,1m,1778846700000,1778846759999,80469.20000000,80473.60000000,80431.71658171,80431.71658171
binance,usdm_futures,BTCUSDT,1m,1778846760000,1778846819999,80431.72092954,80431.72092954,80376.27799850,80376.27799850
binance,usdm_futures,BTCUSDT,1m,1778846820000,1778846879999,80376.28234633,80376.28234633,80350.00000000,80368.30000000
binance,usdm_futures,BTCUSDT,1m,1778846880000,1778846939999,80368.30000000,80384.80000000,80351.30029710,80384.70000000
binance,usdm_futures,BTCUSDT,1m,1778846940000,1778846999999,80384.80000000,80554.40000000,80384.80000000,80554.40000000
binance,usdm_futures,BTCUSDT,1m,1778847000000,1778847059999,80554.40000000,80558.61755797,80541.67812319,80554.00000000
binance,usdm_futures,BTCUSDT,1m,1778847060000,1778847119999,80554.00000000,80559.72069565,80500.43654423,80500.43654423
binance,usdm_futures,BTCUSDT,1m,1778847120000,1778847179999,80500.44523988,80500.45573913,80462.40000000,80462.50000000
binance,usdm_futures,BTCUSDT,1m,1778847180000,1778847239999,80462.40000000,80473.50000000,80458.83565217,80471.11852899
binance,usdm_futures,BTCUSDT,1m,1778847240000,1778847299999,80471.11852899,80471.11852899,80375.90000000,80379.10000000
binance,usdm_futures,BTCUSDT,1m,1778847300000,1778847359999,80379.10000000,80393.19545652,80338.47863768,80393.19545652
binance,usdm_futures,BTCUSDT,1m,1778847360000,1778847419999,80393.18241304,80432.00000000,80392.72329710,80432.00000000
binance,usdm_futures,BTCUSDT,1m,1778847420000,1778847479999,80426.99555072,80436.00000000,80415.91593478,80419.30000000
binance,usdm_futures,BTCUSDT,1m,1778847480000,1778847539999,80419.40000000,80441.30000000,80413.97652174,80439.70000000
binance,usdm_futures,BTCUSDT,1m,1778847540000,1778847599999,80439.70000000,80476.50950000,80432.90000000,80472.38575362
binance,usdm_futures,BTCUSDT,1m,1778847600000,1778847659999,80473.63292754,80477.80000000,80460.70000000,80475.20000000
binance,usdm_futures,BTCUSDT,1m,1778847660000,1778847719999,80475.20000000,80493.75978261,80474.20000000,80474.84981159
binance,usdm_futures,BTCUSDT,1m,1778847720000,1778847779999,80474.82889055,80541.20000000,80471.86497751,80539.70515217
binance,usdm_futures,BTCUSDT,1m,1778847780000,1778847839999,80537.27268116,80537.27268116,80476.02377536,80476.02377536
binance,usdm_futures,BTCUSDT,1m,1778847840000,1778847899999,80474.95111594,80474.95111594,80432.80000000,80442.90000000
binance,usdm_futures,BTCUSDT,1m,1778847900000,1778847959999,80442.90000000,80448.80000000,80429.30000000,80436.20000000
binance,usdm_futures,BTCUSDT,1m,1778847960000,1778848019999,80436.10000000,80464.00000000,80436.10000000,80464.00000000
binance,usdm_futures,BTCUSDT,1m,1778848020000,1778848079999,80464.00000000,80465.69365817,80446.39844928,80460.70000000
binance,usdm_futures,BTCUSDT,1m,1778848080000,1778848139999,80460.60000000,80472.70000000,80460.60000000,80472.70000000
binance,usdm_futures,BTCUSDT,1m,1778848140000,1778848199999,80472.70000000,80497.81573188,80472.70000000,80497.80921014
binance,usdm_futures,BTCUSDT,1m,1778848200000,1778848259999,80497.81073188,80498.42226812,80387.90825337,80400.30000000
binance,usdm_futures,BTCUSDT,1m,1778848260000,1778848319999,80400.30000000,80441.22228986,80396.30000000,80441.21794203
binance,usdm_futures,BTCUSDT,1m,1778848320000,1778848379999,80441.20489855,80520.10000000,80431.48905072,80520.10000000
binance,usdm_futures,BTCUSDT,1m,1778848380000,1778848439999,80520.10000000,80524.82602699,80479.97417391,80479.97417391
binance,usdm_futures,BTCUSDT,1m,1778848440000,1778848499999,80479.99156522,80508.00000000,80478.80000000,80508.00000000
binance,usdm_futures,BTCUSDT,1m,1778848500000,1778848559999,80508.00000000,80530.10000000,80486.73009420,80489.10000000
