exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count
binance,usdm_futures,ETHUSDT,1m,1778838720000,1778838779999,2252.11,2253.85,2251.72,2253.45,2231.024,5026085.86630,3370
binance,usdm_futures,ETHUSDT,1m,1778838780000,1778838839999,2253.44,2253.45,2251.73,2252.20,860.586,1938343.23023,1858
binance,usdm_futures,ETHUSDT,1m,1778838840000,1778838899999,2252.19,2252.19,2251.20,2251.33,1661.042,3739994.84670,2070
binance,usdm_futures,ETHUSDT,1m,1778838900000,1778838959999,2251.34,2252.90,2249.31,2252.38,4518.576,10170320.50123,6451
binance,usdm_futures,ETHUSDT,1m,1778838960000,1778839019999,2252.39,2254.31,2252.01,2252.52,2183.215,4918878.54621,5020
binance,usdm_futures,ETHUSDT,1m,1778839020000,1778839079999,2252.51,2252.52,2251.62,2252.34,826.710,1861896.24222,1789
binance,usdm_futures,ETHUSDT,1m,1778839080000,1778839139999,2252.34,2252.57,2251.97,2252.57,597.608,1345986.12385,943
binance,usdm_futures,ETHUSDT,1m,1778839140000,1778839199999,2252.57,2253.50,2252.38,2253.49,1139.278,2566672.15941,1386
binance,usdm_futures,ETHUSDT,1m,1778839200000,1778839259999,2253.48,2253.91,2252.50,2252.53,1980.246,4461227.70061,2915
binance,usdm_futures,ETHUSDT,1m,1778839260000,1778839319999,2252.53,2253.37,2251.99,2252.26,2918.842,6574181.64293,2882
binance,usdm_futures,ETHUSDT,1m,1778839320000,1778839379999,2252.27,2252.95,2251.90,2252.61,735.347,1656332.14552,1434
binance,usdm_futures,ETHUSDT,1m,1778839380000,1778839439999,2252.61,2252.61,2250.95,2251.96,761.893,1715765.57919,1629
binance,usdm_futures,ETHUSDT,1m,1778839440000,1778839499999,2251.97,2252.38,2251.35,2252.15,653.038,1470686.12456,1411
binance,usdm_futures,ETHUSDT,1m,1778839500000,1778839559999,2252.15,2253.48,2251.35,2252.96,820.729,1848951.99436,1808
binance,usdm_futures,ETHUSDT,1m,1778839560000,1778839619999,2252.95,2254.01,2252.21,2254.01,1034.579,2330915.36410,1780
binance,usdm_futures,ETHUSDT,1m,1778839620000,1778839679999,2254.00,2254.56,2253.43,2254.01,1403.571,3163646.71019,2247
binance,usdm_futures,ETHUSDT,1m,1778839680000,1778839739999,2254.00,2255.43,2253.47,2255.12,1453.707,3277426.85635,2523
binance,usdm_futures,ETHUSDT,1m,1778839740000,1778839799999,2255.11,2255.88,2254.95,2255.77,1616.890,3646841.29351,1864
binance,usdm_futures,ETHUSDT,1m,1778839800000,1778839859999,2255.77,2256.31,2255.22,2256.11,2573.155,5804778.56639,2479
