exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close
binance,usdm_futures,ETHUSDT,1m,1778838720000,1778838779999,2252.11000000,2253.21000000,2251.80707752,2253.21000000
binance,usdm_futures,ETHUSDT,1m,1778838780000,1778838839999,2253.45000000,2253.45000000,2251.73107752,2252.37000000
binance,usdm_futures,ETHUSDT,1m,1778838840000,1778838899999,2252.20000000,2252.20685271,2251.29636434,2251.49000000
binance,usdm_futures,ETHUSDT,1m,1778838900000,1778838959999,2251.49000000,2252.82000000,2250.19000000,2252.24000000
binance,usdm_futures,ETHUSDT,1m,1778838960000,1778839019999,2252.23000000,2254.16000000,2252.15944186,2252.49000000
binance,usdm_futures,ETHUSDT,1m,1778839020000,1778839079999,2252.52000000,2252.52990698,2251.98929030,2252.51000000
binance,usdm_futures,ETHUSDT,1m,1778839080000,1778839139999,2252.34000000,2252.52000000,2252.16625581,2252.51000000
binance,usdm_futures,ETHUSDT,1m,1778839140000,1778839199999,2252.57000000,2253.50000000,2252.45457364,2253.49000000
binance,usdm_futures,ETHUSDT,1m,1778839200000,1778839259999,2253.49000000,2253.86000000,2252.54198450,2252.70000000
binance,usdm_futures,ETHUSDT,1m,1778839260000,1778839319999,2252.67412590,2253.37000000,2252.17898557,2252.27000000
binance,usdm_futures,ETHUSDT,1m,1778839320000,1778839379999,2252.27000000,2252.95000000,2252.03420609,2252.61000000
binance,usdm_futures,ETHUSDT,1m,1778839380000,1778839439999,2252.61000000,2252.61000000,2251.47000000,2251.92000000
binance,usdm_futures,ETHUSDT,1m,1778839440000,1778839499999,2251.96000000,2252.38000000,2251.59437209,2252.15000000
binance,usdm_futures,ETHUSDT,1m,1778839500000,1778839559999,2252.15000000,2253.49312675,2251.57975969,2253.47545946
binance,usdm_futures,ETHUSDT,1m,1778839560000,1778839619999,2253.47464865,2254.04446847,2252.29733924,2254.04446847
binance,usdm_futures,ETHUSDT,1m,1778839620000,1778839679999,2254.04798198,2254.56000000,2253.63615315,2254.12046847
