exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count
binance,usdm_futures,RIVERUSDT,15m,1778838300000,1778839199999,7.598000,7.699000,7.584000,7.685000,139193.8,1065821.8636000,15068
binance,usdm_futures,RIVERUSDT,15m,1778839200000,1778840099999,7.685000,7.786000,7.685000,7.739000,193659.1,1499625.4210000,18764
binance,usdm_futures,RIVERUSDT,15m,1778840100000,1778840999999,7.742000,7.788000,7.622000,7.709000,220366.6,1699630.6062000,24678
binance,usdm_futures,RIVERUSDT,15m,1778841000000,1778841899999,7.709000,7.776000,7.605000,7.652000,193166.5,1485332.3894000,20201
binance,usdm_futures,RIVERUSDT,15m,1778841900000,1778842799999,7.652000,7.756000,7.651000,7.685000,113032.3,871042.9073000,14083
binance,usdm_futures,RIVERUSDT,15m,1778842800000,1778843699999,7.685000,7.769000,7.683000,7.755000,89718.3,693717.6062000,11313
binance,usdm_futures,RIVERUSDT,15m,1778843700000,1778844599999,7.756000,7.807000,7.692000,7.750000,160216.2,1242977.0770000,16583
binance,usdm_futures,RIVERUSDT,15m,1778844600000,1778845499999,7.750000,7.860000,7.676000,7.714000,284679.0,2210241.9864000,23730
binance,usdm_futures,RIVERUSDT,15m,1778845500000,1778846399999,7.715000,7.843000,7.692000,7.743000,123512.6,958452.2736000,12891
binance,usdm_futures,RIVERUSDT,15m,1778846400000,1778847299999,7.741000,7.823000,7.732000,7.755000,101500.1,789380.4878000,11857
binance,usdm_futures,RIVERUSDT,15m,1778847300000,1778848199999,7.755000,7.797000,7.527000,7.602000,356192.4,2718781.7342000,30396
binance,usdm_futures,RIVERUSDT,15m,1778848200000,1778849099999,7.602000,7.712000,7.565000,7.663000,117800.2,901071.1568000,11955
binance,usdm_futures,RIVERUSDT,15m,1778849100000,1778849999999,7.662000,7.662000,7.574000,7.658000,100114.8,762290.3078000,9810
binance,usdm_futures,RIVERUSDT,15m,1778850000000,1778850899999,7.660000,7.820000,7.643000,7.762000,158330.9,1224692.6390000,14286
binance,usdm_futures,RIVERUSDT,15m,1778850900000,1778851799999,7.762000,7.958000,7.758000,7.836000,281398.7,2210481.4926000,24999
binance,usdm_futures,RIVERUSDT,15m,1778851800000,1778852699999,7.837000,7.839000,7.546000,7.553000,353403.2,2716941.4188000,36443
binance,usdm_futures,RIVERUSDT,15m,1778852700000,1778853599999,7.552000,7.690000,7.474000,7.643000,308886.2,2342785.7837000,32074
binance,usdm_futures,RIVERUSDT,15m,1778853600000,1778854499999,7.644000,7.645000,7.433000,7.490000,224221.3,1690726.4735000,26560
