exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close
binance,usdm_futures,RIVERUSDT,15m,1778838300000,1778839199999,7.59885521,7.69416561,7.58400000,7.68013510
binance,usdm_futures,RIVERUSDT,15m,1778839200000,1778840099999,7.68261010,7.78599356,7.68261010,7.74700000
binance,usdm_futures,RIVERUSDT,15m,1778840100000,1778840999999,7.74300000,7.77641952,7.62926707,7.70393494
binance,usdm_futures,RIVERUSDT,15m,1778841000000,1778841899999,7.70380994,7.76367229,7.63425965,7.65000000
binance,usdm_futures,RIVERUSDT,15m,1778841900000,1778842799999,7.64800000,7.75400000,7.64800000,7.68700000
binance,usdm_futures,RIVERUSDT,15m,1778842800000,1778843699999,7.68400941,7.76578440,7.68300000,7.75552718
binance,usdm_futures,RIVERUSDT,15m,1778843700000,1778844599999,7.75497644,7.78931237,7.70492818,7.75100000
binance,usdm_futures,RIVERUSDT,15m,1778844600000,1778845499999,7.75000000,7.84000000,7.68500022,7.71500000
binance,usdm_futures,RIVERUSDT,15m,1778845500000,1778846399999,7.71400000,7.82500000,7.69300000,7.74300000
binance,usdm_futures,RIVERUSDT,15m,1778846400000,1778847299999,7.74300000,7.81246734,7.73300000,7.75500000
binance,usdm_futures,RIVERUSDT,15m,1778847300000,1778848199999,7.75519616,7.79106090,7.53920491,7.59723785
binance,usdm_futures,RIVERUSDT,15m,1778848200000,1778849099999,7.59703158,7.70000000,7.56692174,7.66600000
binance,usdm_futures,RIVERUSDT,15m,1778849100000,1778849999999,7.66200000,7.66200000,7.57800000,7.65663565
binance,usdm_futures,RIVERUSDT,15m,1778850000000,1778850899999,7.65792315,7.80500000,7.64500000,7.76200000
binance,usdm_futures,RIVERUSDT,15m,1778850900000,1778851799999,7.76200000,7.90939730,7.76100000,7.83491250
binance,usdm_futures,RIVERUSDT,15m,1778851800000,1778852699999,7.83592500,7.83605000,7.56224170,7.57306352
binance,usdm_futures,RIVERUSDT,15m,1778852700000,1778853599999,7.56348692,7.68500000,7.49600000,7.64616565
binance,usdm_futures,RIVERUSDT,15m,1778853600000,1778854499999,7.64300000,7.64300000,7.44120330,7.49300000
binance,usdm_futures,RIVERUSDT,15m,1778854500000,1778855399999,7.49000000,7.62800000,7.49000000,7.53800000
binance,usdm_futures,RIVERUSDT,15m,1778855400000,1778856299999,7.53812220,7.61049481,7.52657268,7.57500000
binance,usdm_futures,RIVERUSDT,15m,1778856300000,1778857199999,7.57600000,7.59219750,7.33099635,7.34913458
binance,usdm_futures,RIVERUSDT,15m,1778857200000,1778858099999,7.35080472,7.43000000,7.32500000,7.39900000
binance,usdm_futures,RIVERUSDT,15m,1778858100000,1778858999999,7.40000000,7.45666036,7.33900000,7.43262632
binance,usdm_futures,RIVERUSDT,15m,1778859000000,1778859899999,7.43300000,7.48439226,7.29290632,7.31219435
binance,usdm_futures,RIVERUSDT,15m,1778859900000,1778860799999,7.31219435,7.37626437,7.31219435,7.35450660
binance,usdm_futures,RIVERUSDT,15m,1778860800000,1778861699999,7.35504410,7.41088196,7.32016154,7.39300000
binance,usdm_futures,RIVERUSDT,15m,1778861700000,1778862599999,7.39400000,7.41382128,7.30493174,7.40700000
binance,usdm_futures,RIVERUSDT,15m,1778862600000,1778863499999,7.40600000,7.46137010,7.38300000,7.41903106
binance,usdm_futures,RIVERUSDT,15m,1778863500000,1778864399999,7.42122795,7.50000000,7.37446599,7.48600000
binance,usdm_futures,RIVERUSDT,15m,1778864400000,1778865299999,7.48600000,7.54811111,7.45810705,7.47200000
binance,usdm_futures,RIVERUSDT,15m,1778865300000,1778866199999,7.47100000,7.60000000,7.46400000,7.58621923
binance,usdm_futures,RIVERUSDT,15m,1778866200000,1778867099999,7.58647915,7.60500000,7.55049004,7.59100000
binance,usdm_futures,RIVERUSDT,15m,1778867100000,1778867999999,7.59100000,7.59676163,7.54087862,7.58918459
binance,usdm_futures,RIVERUSDT,15m,1778868000000,1778868899999,7.58993459,7.60600000,7.53400000,7.54827344
binance,usdm_futures,RIVERUSDT,15m,1778868900000,1778869799999,7.54971094,7.55207487,7.45104428,7.53600000
binance,usdm_futures,RIVERUSDT,15m,1778869800000,1778870699999,7.53600000,7.61200000,7.50209654,7.60213380
binance,usdm_futures,RIVERUSDT,15m,1778870700000,1778871599999,7.60213812,7.66582083,7.58324237,7.60061650
binance,usdm_futures,RIVERUSDT,15m,1778871600000,1778872499999,7.60099150,7.61428407,7.55131903,7.55753760
binance,usdm_futures,RIVERUSDT,15m,1778872500000,1778873399999,7.55951260,7.60100000,7.53300000,7.56900000
binance,usdm_futures,RIVERUSDT,15m,1778873400000,1778874299999,7.56900000,7.62100000,7.56900000,7.61886937
binance,usdm_futures,RIVERUSDT,15m,1778874300000,1778875199999,7.61911377,7.62300000,7.56477423,7.58400000
binance,usdm_futures,RIVERUSDT,15m,1778875200000,1778876099999,7.58400000,7.61065575,7.55700000,7.60500000
binance,usdm_futures,RIVERUSDT,15m,1778876100000,1778876999999,7.60500000,7.60600000,7.51900000,7.55971979
binance,usdm_futures,RIVERUSDT,15m,1778877000000,1778877899999,7.55900000,7.62300000,7.55400000,7.60587240
binance,usdm_futures,RIVERUSDT,15m,1778877900000,1778878799999,7.60574973,7.62329931,7.56594075,7.59800000
binance,usdm_futures,RIVERUSDT,15m,1778878800000,1778879699999,7.59800000,7.62100000,7.49400000,7.52086855
binance,usdm_futures,RIVERUSDT,15m,1778879700000,1778880599999,7.52086855,7.57800000,7.50100000,7.57501250
binance,usdm_futures,RIVERUSDT,15m,1778880600000,1778881499999,7.57538750,7.60103481,7.50000000,7.50200000
binance,usdm_futures,RIVERUSDT,15m,1778881500000,1778882399999,7.50200000,7.52787512,7.45700000,7.49716625
binance,usdm_futures,RIVERUSDT,15m,1778882400000,1778883299999,7.49716625,7.51200000,7.43600000,7.46092861
binance,usdm_futures,RIVERUSDT,15m,1778883300000,1778884199999,7.46000000,7.49182603,7.45441241,7.48894567
binance,usdm_futures,RIVERUSDT,15m,1778884200000,1778885099999,7.48969154,7.51257585,7.42900000,7.43600000
binance,usdm_futures,RIVERUSDT,15m,1778885100000,1778885999999,7.43300000,7.43701583,7.37888110,7.42600000
binance,usdm_futures,RIVERUSDT,15m,1778886000000,1778886899999,7.42300000,7.43145674,7.25100727,7.32000000
binance,usdm_futures,RIVERUSDT,15m,1778886900000,1778887799999,7.32047350,7.32787867,7.22956287,7.30402483
binance,usdm_futures,RIVERUSDT,15m,1778887800000,1778888699999,7.30389983,7.35956255,7.29300000,7.33522330
binance,usdm_futures,RIVERUSDT,15m,1778888700000,1778889599999,7.33818580,7.34700000,7.29768432,7.31350045
binance,usdm_futures,RIVERUSDT,15m,1778889600000,1778890499999,7.31300000,7.36000000,7.25193004,7.33874348
binance,usdm_futures,RIVERUSDT,15m,1778890500000,1778891399999,7.33874348,7.44400000,7.32400000,7.39885347
binance,usdm_futures,RIVERUSDT,15m,1778891400000,1778892299999,7.39885347,7.45218806,7.39885347,7.40200000
binance,usdm_futures,RIVERUSDT,15m,1778892300000,1778893199999,7.40100000,7.40100000,7.26600000,7.28600000
binance,usdm_futures,RIVERUSDT,15m,1778893200000,1778894099999,7.28600000,7.32900000,7.18488135,7.25300000
binance,usdm_futures,RIVERUSDT,15m,1778894100000,1778894999999,7.25300000,7.25920923,7.18476260,7.18718426
binance,usdm_futures,RIVERUSDT,15m,1778895000000,1778895899999,7.18683411,7.29700000,7.18100000,7.28822655
binance,usdm_futures,RIVERUSDT,15m,1778895900000,1778896799999,7.28856266,7.31000000,7.20998385,7.27500000
binance,usdm_futures,RIVERUSDT,15m,1778896800000,1778897699999,7.27500000,7.32089416,7.20100000,7.21200000
binance,usdm_futures,RIVERUSDT,15m,1778897700000,1778898599999,7.21200000,7.24200000,7.17512305,7.19100000
binance,usdm_futures,RIVERUSDT,15m,1778898600000,1778899499999,7.19100000,7.20200000,7.14400000,7.15674351
binance,usdm_futures,RIVERUSDT,15m,1778899500000,1778900399999,7.15940601,7.19756674,7.07900000,7.09422875
binance,usdm_futures,RIVERUSDT,15m,1778900400000,1778901299999,7.09426625,7.16700000,7.09400000,7.15400000
binance,usdm_futures,RIVERUSDT,15m,1778901300000,1778902199999,7.15400000,7.15500000,7.09682094,7.12900000
binance,usdm_futures,RIVERUSDT,15m,1778902200000,1778903099999,7.12900000,7.13090849,7.07576604,7.10397185
binance,usdm_futures,RIVERUSDT,15m,1778903100000,1778903999999,7.10397185,7.12156725,7.07600000,7.12156725
binance,usdm_futures,RIVERUSDT,15m,1778904000000,1778904899999,7.12185240,7.16600000,7.07100000,7.16300000
binance,usdm_futures,RIVERUSDT,15m,1778904900000,1778905799999,7.16300000,7.17600000,7.08798230,7.08900000
binance,usdm_futures,RIVERUSDT,15m,1778905800000,1778906699999,7.08900000,7.08975662,6.97211398,7.00698492
binance,usdm_futures,RIVERUSDT,15m,1778906700000,1778907599999,7.00672561,7.06960793,7.00600000,7.06960793
binance,usdm_futures,RIVERUSDT,15m,1778907600000,1778908499999,7.06900000,7.10200000,6.98828366,7.03058005
binance,usdm_futures,RIVERUSDT,15m,1778908500000,1778909399999,7.03058005,7.03058005,6.98000000,6.98972919
binance,usdm_futures,RIVERUSDT,15m,1778909400000,1778910299999,6.98700000,7.02175440,6.98400000,6.98700000
binance,usdm_futures,RIVERUSDT,15m,1778910300000,1778911199999,6.98600000,7.02173797,6.97800000,7.00100000
binance,usdm_futures,RIVERUSDT,15m,1778911200000,1778912099999,7.00100000,7.00265154,6.90600000,6.91866362
binance,usdm_futures,RIVERUSDT,15m,1778912100000,1778912999999,6.91866362,7.01707600,6.91000000,7.00203266
binance,usdm_futures,RIVERUSDT,15m,1778913000000,1778913899999,7.00203266,7.04000000,6.97503052,7.02210652
binance,usdm_futures,RIVERUSDT,15m,1778913900000,1778914799999,7.02223152,7.09797158,7.02223152,7.08795287
binance,usdm_futures,RIVERUSDT,15m,1778914800000,1778915699999,7.08935522,7.15423759,7.03257954,7.15333637
binance,usdm_futures,RIVERUSDT,15m,1778915700000,1778916599999,7.15400000,7.15905938,6.98295963,7.00500000
binance,usdm_futures,RIVERUSDT,15m,1778916600000,1778917499999,7.00400000,7.04400000,6.93744951,7.04400000
binance,usdm_futures,RIVERUSDT,15m,1778917500000,1778918399999,7.04698059,7.04698059,6.98300000,6.98900000
binance,usdm_futures,RIVERUSDT,15m,1778918400000,1778919299999,6.98900000,7.01912844,6.95529328,6.98192483
binance,usdm_futures,RIVERUSDT,15m,1778919300000,1778920199999,6.98192483,7.08000000,6.98000000,7.05964751
binance,usdm_futures,RIVERUSDT,15m,1778920200000,1778921099999,7.05977251,7.10200000,7.04754596,7.07100000
binance,usdm_futures,RIVERUSDT,15m,1778921100000,1778921999999,7.07100000,7.13800000,7.06273564,7.12499037
binance,usdm_futures,RIVERUSDT,15m,1778922000000,1778922899999,7.12376537,7.14468103,7.10004255,7.11600000
binance,usdm_futures,RIVERUSDT,15m,1778922900000,1778923799999,7.11600000,7.12300000,7.08201943,7.10200000
binance,usdm_futures,RIVERUSDT,15m,1778923800000,1778924699999,7.10200000,7.22148504,7.09600000,7.17600000
binance,usdm_futures,RIVERUSDT,15m,1778924700000,1778925599999,7.17400000,7.22400000,7.17100000,7.19700000
binance,usdm_futures,RIVERUSDT,15m,1778925600000,1778926499999,7.19716253,7.25900000,7.19482721,7.22300000
binance,usdm_futures,RIVERUSDT,15m,1778926500000,1778927399999,7.22200000,7.24424774,7.11385807,7.19541630
binance,usdm_futures,RIVERUSDT,15m,1778927400000,1778928299999,7.19541630,7.28100000,7.19327145,7.22600000
binance,usdm_futures,RIVERUSDT,15m,1778928300000,1778929199999,7.22600000,7.32596520,7.22500000,7.32400000
binance,usdm_futures,RIVERUSDT,15m,1778929200000,1778930099999,7.32395573,7.35500000,7.28122074,7.35113617
binance,usdm_futures,RIVERUSDT,15m,1778930100000,1778930999999,7.35113617,7.40897626,7.34000000,7.39200000
binance,usdm_futures,RIVERUSDT,15m,1778931000000,1778931899999,7.38700000,7.43517098,7.35578498,7.42100000
binance,usdm_futures,RIVERUSDT,15m,1778931900000,1778932799999,7.42100000,7.53015421,7.40700000,7.47200372
binance,usdm_futures,RIVERUSDT,15m,1778932800000,1778933699999,7.47180080,7.58589897,7.47167580,7.55991981
binance,usdm_futures,RIVERUSDT,15m,1778933700000,1778934599999,7.56329481,7.63021582,7.48191127,7.62500000
binance,usdm_futures,RIVERUSDT,15m,1778934600000,1778935499999,7.62300000,7.78000000,7.62300000,7.75400000
binance,usdm_futures,RIVERUSDT,15m,1778935500000,1778936399999,7.75200000,7.90793493,7.55850283,7.64300000
binance,usdm_futures,RIVERUSDT,15m,1778936400000,1778937299999,7.64100000,7.66100000,7.44638199,7.57673962
binance,usdm_futures,RIVERUSDT,15m,1778937300000,1778938199999,7.57648962,7.57800000,7.46292440,7.51200000
binance,usdm_futures,RIVERUSDT,15m,1778938200000,1778939099999,7.51200000,7.58600000,7.44900000,7.53800000
binance,usdm_futures,RIVERUSDT,15m,1778939100000,1778939999999,7.53700000,7.58300000,7.46200000,7.55900000
binance,usdm_futures,RIVERUSDT,15m,1778940000000,1778940899999,7.56400000,7.57577444,7.48949650,7.56421244
binance,usdm_futures,RIVERUSDT,15m,1778940900000,1778941799999,7.56450455,7.56600000,7.48300000,7.49700000
binance,usdm_futures,RIVERUSDT,15m,1778941800000,1778942699999,7.49700000,7.54806259,7.48277643,7.51950841
binance,usdm_futures,RIVERUSDT,15m,1778942700000,1778943599999,7.51950841,7.56434469,7.47288691,7.51000094
binance,usdm_futures,RIVERUSDT,15m,1778943600000,1778944499999,7.51000094,7.55591686,7.43368387,7.46500000
binance,usdm_futures,RIVERUSDT,15m,1778944500000,1778945399999,7.46400000,7.48400000,7.34000000,7.34922380
binance,usdm_futures,RIVERUSDT,15m,1778945400000,1778946299999,7.35000000,7.47600000,7.28200000,7.45800000
binance,usdm_futures,RIVERUSDT,15m,1778946300000,1778947199999,7.45926655,7.52149203,7.43800000,7.47237501
binance,usdm_futures,RIVERUSDT,15m,1778947200000,1778948099999,7.47237501,7.53300330,7.44255985,7.51000000
binance,usdm_futures,RIVERUSDT,15m,1778948100000,1778948999999,7.51000000,7.54276117,7.46399011,7.53819516
binance,usdm_futures,RIVERUSDT,15m,1778949000000,1778949899999,7.53929194,7.61400000,7.51500000,7.53400000
binance,usdm_futures,RIVERUSDT,15m,1778949900000,1778950799999,7.53400000,7.60159234,7.47483644,7.58100000
binance,usdm_futures,RIVERUSDT,15m,1778950800000,1778951699999,7.58100000,7.62600000,7.54600000,7.58600000
binance,usdm_futures,RIVERUSDT,15m,1778951700000,1778952599999,7.58700000,7.64397138,7.55274560,7.63700000
binance,usdm_futures,RIVERUSDT,15m,1778952600000,1778953499999,7.63700000,7.65900000,7.61000000,7.62900000
binance,usdm_futures,RIVERUSDT,15m,1778953500000,1778954399999,7.62900000,7.65000000,7.60700000,7.62900000
binance,usdm_futures,RIVERUSDT,15m,1778954400000,1778955299999,7.62900000,7.62969066,7.59500000,7.61500000
binance,usdm_futures,RIVERUSDT,15m,1778955300000,1778956199999,7.61300000,7.66700000,7.61100000,7.65000000
binance,usdm_futures,RIVERUSDT,15m,1778956200000,1778957099999,7.65000000,7.70400000,7.63000000,7.66600000
binance,usdm_futures,RIVERUSDT,15m,1778957100000,1778957999999,7.66653764,7.70800000,7.66552234,7.68932083
binance,usdm_futures,RIVERUSDT,15m,1778958000000,1778958899999,7.68932083,7.78768351,7.68800000,7.76474394
binance,usdm_futures,RIVERUSDT,15m,1778958900000,1778959799999,7.76474394,7.78100000,7.72448783,7.76300000
binance,usdm_futures,RIVERUSDT,15m,1778959800000,1778960699999,7.76300000,7.77433704,7.73329646,7.75862040
binance,usdm_futures,RIVERUSDT,15m,1778960700000,1778961599999,7.75796419,7.80082097,7.72500000,7.79435760
binance,usdm_futures,RIVERUSDT,15m,1778961600000,1778962499999,7.79435760,7.85000000,7.75838913,7.83600000
binance,usdm_futures,RIVERUSDT,15m,1778962500000,1778963399999,7.83400000,7.85268213,7.76591004,7.77400000
binance,usdm_futures,RIVERUSDT,15m,1778963400000,1778964299999,7.77700000,7.78755890,7.65771213,7.65772463
binance,usdm_futures,RIVERUSDT,15m,1778964300000,1778965199999,7.66300000,7.70910716,7.63877846,7.69700000
binance,usdm_futures,RIVERUSDT,15m,1778965200000,1778966099999,7.69600000,7.72200000,7.67173411,7.67183580
binance,usdm_futures,RIVERUSDT,15m,1778966100000,1778966999999,7.67241297,7.67900000,7.63503403,7.64700000
binance,usdm_futures,RIVERUSDT,15m,1778967000000,1778967899999,7.64800000,7.70619313,7.61800000,7.62724625
binance,usdm_futures,RIVERUSDT,15m,1778967900000,1778968799999,7.62724625,7.75089533,7.62300000,7.72869585
binance,usdm_futures,RIVERUSDT,15m,1778968800000,1778969699999,7.72919585,7.74061054,7.68100000,7.74061054
