exchange,symbol,market_type,timestamp_ms,received_at_ms,source,metadata,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count,is_closed
binance,BTCUSDT,usdm_futures,1779106139999,1779106139999,history_downloader,{},1m,1779106080000,1779106139999,77443.0,77452.8,77403.9,77406.5,152.404,11801426.0723,4089,True
binance,BTCUSDT,usdm_futures,1779106199999,1779106199999,history_downloader,{},1m,1779106140000,1779106199999,77406.5,77439.0,77406.5,77422.4,95.212,7371691.8744,2787,True
binance,BTCUSDT,usdm_futures,1779106259999,1779106259999,history_downloader,{},1m,1779106200000,1779106259999,77422.5,77438.9,77395.3,77422.0,98.471,7623222.9389,3022,True
binance,BTCUSDT,usdm_futures,1779106319999,1779106319999,history_downloader,{},1m,1779106260000,1779106319999,77422.0,77434.6,77395.1,77396.8,99.237,7682360.23,2893,True
binance,BTCUSDT,usdm_futures,1779106379999,1779106379999,history_downloader,{},1m,1779106320000,1779106379999,77396.8,77400.0,77369.2,77377.2,113.865,8811598.044,2637,True
binance,BTCUSDT,usdm_futures,1779106439999,1779106439999,history_downloader,{},1m,1779106380000,1779106439999,77377.2,77394.6,77364.2,77364.2,95.209,7367273.4806,1959,True
binance,BTCUSDT,usdm_futures,1779106499999,1779106499999,history_downloader,{},1m,1779106440000,1779106499999,77364.2,77400.0,77355.3,77399.9,69.456,5373872.4365,2031,True
binance,BTCUSDT,usdm_futures,1779106559999,1779106559999,history_downloader,{},1m,1779106500000,1779106559999,77400.0,77416.9,77356.8,77357.3,64.13,4962662.4867,2974,True
binance,BTCUSDT,usdm_futures,1779106619999,1779106619999,history_downloader,{},1m,1779106560000,1779106619999,77357.4,77408.9,77334.5,77377.7,142.283,11008100.7397,5137,True
binance,BTCUSDT,usdm_futures,1779106679999,1779106679999,history_downloader,{},1m,1779106620000,1779106679999,77377.6,77417.3,77338.6,77401.1,163.007,12613483.1472,4200,True
binance,BTCUSDT,usdm_futures,1779106739999,1779106739999,history_downloader,{},1m,1779106680000,1779106739999,77401.1,77450.0,77400.0,77410.4,120.341,9317635.726,3575,True
binance,BTCUSDT,usdm_futures,1779106799999,1779106799999,history_downloader,{},1m,1779106740000,1779106799999,77410.4,77428.7,77393.6,77412.0,46.437,3595075.3143,2102,True
binance,BTCUSDT,usdm_futures,1779106859999,1779106859999,history_downloader,{},1m,1779106800000,1779106859999,77412.0,77420.0,77400.0,77406.8,57.151,4424146.7604,1964,True
binance,BTCUSDT,usdm_futures,1779106919999,1779106919999,history_downloader,{},1m,1779106860000,1779106919999,77406.9,77445.6,77406.8,77443.2,76.838,5949896.3498,1991,True
binance,BTCUSDT,usdm_futures,1779106979999,1779106979999,history_downloader,{},1m,1779106920000,1779106979999,77443.2,77480.0,77443.1,77458.6,175.943,13628629.7517,3789,True
binance,BTCUSDT,usdm_futures,1779107039999,1779107039999,history_downloader,{},1m,1779106980000,1779107039999,77458.6,77488.0,77451.2,77470.7,168.039,13017723.7809,3556,True
binance,BTCUSDT,usdm_futures,1779107099999,1779107099999,history_downloader,{},1m,1779107040000,1779107099999,77470.7,77524.6,77461.6,77494.6,385.958,29911810.5152,6219,True
binance,BTCUSDT,usdm_futures,1779107159999,1779107159999,history_downloader,{},1m,1779107100000,1779107159999,77494.6,77494.7,77470.0,77471.7,69.745,5403786.0238,2179,True
binance,BTCUSDT,usdm_futures,1779107219999,1779107219999,history_downloader,{},1m,1779107160000,1779107219999,77471.5,77471.5,77380.0,77385.5,244.036,18893542.5781,4671,True
binance,BTCUSDT,usdm_futures,1779107279999,1779107279999,history_downloader,{},1m,1779107220000,1779107279999,77385.5,77385.5,77241.5,77295.3,1004.946,77677025.6593,9637,True
binance,BTCUSDT,usdm_futures,1779107339999,1779107339999,history_downloader,{},1m,1779107280000,1779107339999,77295.2,77338.9,77288.9,77327.7,220.454,17043451.2597,2934,True
binance,BTCUSDT,usdm_futures,1779107399999,1779107399999,history_downloader,{},1m,1779107340000,1779107399999,77327.7,77330.3,77300.6,77303.1,150.148,11609753.7676,2221,True
binance,BTCUSDT,usdm_futures,1779107459999,1779107459999,history_downloader,{},1m,1779107400000,1779107459999,77303.2,77303.2,77271.3,77278.9,100.546,7770885.0707,2054,True
binance,BTCUSDT,usdm_futures,1779107519999,1779107519999,history_downloader,{},1m,1779107460000,1779107519999,77279.0,77305.3,77259.1,77297.6,84.506,6530597.8224,2162,True
binance,BTCUSDT,usdm_futures,1779107579999,1779107579999,history_downloader,{},1m,1779107520000,1779107579999,77297.5,77338.9,77277.7,77338.9,61.04,4718907.8233,1853,True
binance,BTCUSDT,usdm_futures,1779107639999,1779107639999,history_downloader,{},1m,1779107580000,1779107639999,77338.9,77436.0,77313.6,77427.0,272.403,21073814.2116,5050,True
binance,BTCUSDT,usdm_futures,1779107699999,1779107699999,history_downloader,{},1m,1779107640000,1779107699999,77427.0,77530.3,77412.0,77527.2,357.316,27681347.5679,8147,True
binance,BTCUSDT,usdm_futures,1779107759999,1779107759999,history_downloader,{},1m,1779107700000,1779107759999,77527.1,77580.0,77490.9,77539.9,371.034,28768308.286,9045,True
binance,BTCUSDT,usdm_futures,1779107819999,1779107819999,history_downloader,{},1m,1779107760000,1779107819999,77539.8,77540.0,77472.4,77481.0,175.796,13625959.1056,4566,True
binance,BTCUSDT,usdm_futures,1779107879999,1779107879999,history_downloader,{},1m,1779107820000,1779107879999,77481.1,77505.0,77481.1,77504.9,81.639,6326704.439,2583,True
binance,BTCUSDT,usdm_futures,1779107939999,1779107939999,history_downloader,{},1m,1779107880000,1779107939999,77505.0,77580.4,77505.0,77579.5,255.162,19790190.472,5452,True
binance,BTCUSDT,usdm_futures,1779107999999,1779107999999,history_downloader,{},1m,1779107940000,1779107999999,77579.5,77642.6,77579.5,77603.6,567.032,44008556.5777,8358,True
binance,BTCUSDT,usdm_futures,1779108059999,1779108059999,history_downloader,{},1m,1779108000000,1779108059999,77603.6,77660.5,77600.1,77605.4,323.619,25124625.2936,5395,True
binance,BTCUSDT,usdm_futures,1779108119999,1779108119999,history_downloader,{},1m,1779108060000,1779108119999,77605.5,77675.2,77604.5,77664.8,266.556,20696867.5747,5094,True
binance,BTCUSDT,usdm_futures,1779108179999,1779108179999,history_downloader,{},1m,1779108120000,1779108179999,77664.9,77692.0,77652.2,77672.0,293.947,22832377.6483,5466,True
binance,BTCUSDT,usdm_futures,1779108239999,1779108239999,history_downloader,{},1m,1779108180000,1779108239999,77672.0,77686.0,77638.3,77670.0,232.559,18061244.5989,3998,True
binance,BTCUSDT,usdm_futures,1779108299999,1779108299999,history_downloader,{},1m,1779108240000,1779108299999,77669.9,77686.6,77635.0,77686.5,157.787,12255133.2727,3648,True
binance,BTCUSDT,usdm_futures,1779108359999,1779108359999,history_downloader,{},1m,1779108300000,1779108359999,77686.4,77740.0,77641.5,77730.9,517.881,40243685.1258,8724,True
binance,BTCUSDT,usdm_futures,1779108419999,1779108419999,history_downloader,{},1m,1779108360000,1779108419999,77731.0,77757.5,77687.8,77702.8,276.244,21468955.6275,6470,True
binance,BTCUSDT,usdm_futures,1779108479999,1779108479999,history_downloader,{},1m,1779108420000,1779108479999,77702.7,77721.3,77655.1,77672.2,208.814,16221324.0641,5693,True
binance,BTCUSDT,usdm_futures,1779108539999,1779108539999,history_downloader,{},1m,1779108480000,1779108539999,77672.1,77672.2,77630.7,77645.0,95.046,7380128.1185,3514,True
binance,BTCUSDT,usdm_futures,1779108599999,1779108599999,history_downloader,{},1m,1779108540000,1779108599999,77645.0,77673.9,77634.4,77634.4,79.293,6157502.4079,3120,True
binance,BTCUSDT,usdm_futures,1779108659999,1779108659999,history_downloader,{},1m,1779108600000,1779108659999,77634.4,77643.5,77612.8,77612.9,83.64,6493086.8902,2959,True
binance,BTCUSDT,usdm_futures,1779108719999,1779108719999,history_downloader,{},1m,1779108660000,1779108719999,77612.8,77616.8,77559.3,77568.3,158.107,12266102.8266,4077,True
binance,BTCUSDT,usdm_futures,1779108779999,1779108779999,history_downloader,{},1m,1779108720000,1779108779999,77568.3,77608.3,77555.0,77589.0,119.23,9250396.8911,3186,True
binance,BTCUSDT,usdm_futures,1779108839999,1779108839999,history_downloader,{},1m,1779108780000,1779108839999,77589.0,77589.1,77552.4,77555.0,129.171,10019584.7318,2685,True
binance,BTCUSDT,usdm_futures,1779108899999,1779108899999,history_downloader,{},1m,1779108840000,1779108899999,77555.0,77574.7,77552.9,77573.9,55.645,4316092.153,1743,True
binance,BTCUSDT,usdm_futures,1779108959999,1779108959999,history_downloader,{},1m,1779108900000,1779108959999,77574.0,77579.5,77542.9,77563.7,63.315,4910815.8186,2106,True
binance,BTCUSDT,usdm_futures,1779109019999,1779109019999,history_downloader,{},1m,1779108960000,1779109019999,77563.7,77620.0,77563.6,77582.8,102.039,7917479.438,3582,True
binance,BTCUSDT,usdm_futures,1779109079999,1779109079999,history_downloader,{},1m,1779109020000,1779109079999,77582.9,77602.4,77570.1,77579.6,72.841,5651225.7472,2135,True
binance,BTCUSDT,usdm_futures,1779109139999,1779109139999,history_downloader,{},1m,1779109080000,1779109139999,77579.5,77583.4,77557.1,77583.4,74.199,5755622.2169,1896,True
binance,BTCUSDT,usdm_futures,1779109199999,1779109199999,history_downloader,{},1m,1779109140000,1779109199999,77583.4,77614.1,77575.6,77599.9,79.978,6205661.1025,2750,True
binance,BTCUSDT,usdm_futures,1779109259999,1779109259999,history_downloader,{},1m,1779109200000,1779109259999,77599.9,77601.9,77542.2,77555.2,113.973,8842040.7847,3325,True
binance,BTCUSDT,usdm_futures,1779109319999,1779109319999,history_downloader,{},1m,1779109260000,1779109319999,77555.2,77595.2,77515.0,77525.5,129.378,10032963.8301,4676,True
binance,BTCUSDT,usdm_futures,1779109379999,1779109379999,history_downloader,{},1m,1779109320000,1779109379999,77525.6,77546.6,77456.3,77474.2,383.369,29708055.455,8428,True
binance,BTCUSDT,usdm_futures,1779109439999,1779109439999,history_downloader,{},1m,1779109380000,1779109439999,77474.2,77485.3,77430.0,77439.1,385.858,29883798.1046,6388,True
binance,BTCUSDT,usdm_futures,1779109499999,1779109499999,history_downloader,{},1m,1779109440000,1779109499999,77439.2,77488.3,77438.0,77481.2,138.236,10709532.6745,3110,True
binance,BTCUSDT,usdm_futures,1779109559999,1779109559999,history_downloader,{},1m,1779109500000,1779109559999,77481.1,77486.7,77447.9,77453.0,127.425,9870941.5414,2697,True
binance,BTCUSDT,usdm_futures,1779109619999,1779109619999,history_downloader,{},1m,1779109560000,1779109619999,77453.0,77486.7,77453.0,77461.8,87.484,6777532.901,2155,True
binance,BTCUSDT,usdm_futures,1779109679999,1779109679999,history_downloader,{},1m,1779109620000,1779109679999,77461.7,77500.0,77461.7,77480.0,109.371,8474108.7923,2528,True
binance,BTCUSDT,usdm_futures,1779109739999,1779109739999,history_downloader,{},1m,1779109680000,1779109739999,77479.9,77480.0,77450.0,77451.7,74.598,5778431.6866,2126,True
