exchange,symbol,market_type,timestamp_ms,received_at_ms,source,metadata,open_interest,open_interest_value,mark_price
binance,BTCUSDT,usdm_futures,1779129000000,1779129000000,history_downloader,{},105702.545,8068355370.123957,
binance,BTCUSDT,usdm_futures,1779129300000,1779129300000,history_downloader,{},105725.0,8073689625.0,
binance,BTCUSDT,usdm_futures,1779129600000,1779129600000,history_downloader,{},105728.34,8064323405.16,
binance,BTCUSDT,usdm_futures,1779129900000,1779129900000,history_downloader,{},105683.659,8063821707.1885,
binance,BTCUSDT,usdm_futures,1779130200000,1779130200000,history_downloader,{},105681.811,8059728202.2851,
binance,BTCUSDT,usdm_futures,1779130500000,1779130500000,history_downloader,{},105685.16,8056580548.604,
binance,BTCUSDT,usdm_futures,1779130800000,1779130800000,history_downloader,{},105713.993,8058844146.671534,
binance,BTCUSDT,usdm_futures,1779131100000,1779131100000,history_downloader,{},105320.028,8083174831.105555,
binance,BTCUSDT,usdm_futures,1779131400000,1779131400000,history_downloader,{},104904.373,8037804530.5719,
binance,BTCUSDT,usdm_futures,1779131700000,1779131700000,history_downloader,{},104802.413,8026523364.9136,
binance,BTCUSDT,usdm_futures,1779132000000,1779132000000,history_downloader,{},104773.96,8025120157.927377,
binance,BTCUSDT,usdm_futures,1779132300000,1779132300000,history_downloader,{},104819.632,8027925975.616,
binance,BTCUSDT,usdm_futures,1779132600000,1779132600000,history_downloader,{},104790.195,8027843597.457329,
binance,BTCUSDT,usdm_futures,1779132900000,1779132900000,history_downloader,{},104760.097,8031045224.1461,
binance,BTCUSDT,usdm_futures,1779133200000,1779133200000,history_downloader,{},104762.208,8034905162.0928,
binance,BTCUSDT,usdm_futures,1779133500000,1779133500000,history_downloader,{},104765.274,8052363724.914,
binance,BTCUSDT,usdm_futures,1779133800000,1779133800000,history_downloader,{},104762.635,8050423126.380757,
binance,BTCUSDT,usdm_futures,1779134100000,1779134100000,history_downloader,{},104644.998,8043132956.645202,
binance,BTCUSDT,usdm_futures,1779134400000,1779134400000,history_downloader,{},104677.662,8048414204.7912,
binance,BTCUSDT,usdm_futures,1779134700000,1779134700000,history_downloader,{},104784.463,8061288785.9623,
binance,BTCUSDT,usdm_futures,1779135000000,1779135000000,history_downloader,{},104789.608,8061422627.5968,
binance,BTCUSDT,usdm_futures,1779135300000,1779135300000,history_downloader,{},104763.509,8071135798.195167,
binance,BTCUSDT,usdm_futures,1779135600000,1779135600000,history_downloader,{},104757.233,8069618568.400591,
binance,BTCUSDT,usdm_futures,1779135900000,1779135900000,history_downloader,{},104769.362,8074145174.9558,
binance,BTCUSDT,usdm_futures,1779136200000,1779136200000,history_downloader,{},104918.156,8090471882.635841,
binance,BTCUSDT,usdm_futures,1779136500000,1779136500000,history_downloader,{},104958.911,8090181937.314663,
binance,BTCUSDT,usdm_futures,1779136800000,1779136800000,history_downloader,{},104994.821,8089115994.303,
binance,BTCUSDT,usdm_futures,1779137100000,1779137100000,history_downloader,{},104921.962,8072066224.508,
binance,BTCUSDT,usdm_futures,1779137400000,1779137400000,history_downloader,{},104851.892,8058235528.409017,
binance,BTCUSDT,usdm_futures,1779137700000,1779137700000,history_downloader,{},104856.283,8069057973.8405,
binance,BTCUSDT,usdm_futures,1779138000000,1779138000000,history_downloader,{},104675.02,8046519926.750706,
binance,BTCUSDT,usdm_futures,1779138300000,1779138300000,history_downloader,{},104592.203,8036184850.436736,
binance,BTCUSDT,usdm_futures,1779138600000,1779138600000,history_downloader,{},104533.946,8034104381.57073,
binance,BTCUSDT,usdm_futures,1779138900000,1779138900000,history_downloader,{},104466.597,8030974110.972,
binance,BTCUSDT,usdm_futures,1779139200000,1779139200000,history_downloader,{},104412.798,8030851612.919525,
binance,BTCUSDT,usdm_futures,1779139500000,1779139500000,history_downloader,{},104429.796,8035141793.628,
binance,BTCUSDT,usdm_futures,1779139800000,1779139800000,history_downloader,{},104366.479,8036599739.283199,
binance,BTCUSDT,usdm_futures,1779140100000,1779140100000,history_downloader,{},104283.58,8032773478.072595,
binance,BTCUSDT,usdm_futures,1779140400000,1779140400000,history_downloader,{},104310.918,8033149122.7694845,
binance,BTCUSDT,usdm_futures,1779140700000,1779140700000,history_downloader,{},104305.748,8030374147.138699,
binance,BTCUSDT,usdm_futures,1779141000000,1779141000000,history_downloader,{},104298.063,8028405428.05297,
binance,BTCUSDT,usdm_futures,1779141300000,1779141300000,history_downloader,{},104310.966,8033582064.1662,
binance,BTCUSDT,usdm_futures,1779141600000,1779141600000,history_downloader,{},104327.619,8039892369.28102,
binance,BTCUSDT,usdm_futures,1779141900000,1779141900000,history_downloader,{},104394.999,8046888713.484098,
binance,BTCUSDT,usdm_futures,1779142200000,1779142200000,history_downloader,{},104429.118,8052299544.9204,
binance,BTCUSDT,usdm_futures,1779142500000,1779142500000,history_downloader,{},104399.621,8050160815.6511,
binance,BTCUSDT,usdm_futures,1779142800000,1779142800000,history_downloader,{},104381.58,8052337987.549067,
binance,BTCUSDT,usdm_futures,1779143100000,1779143100000,history_downloader,{},104321.993,8047951446.5829,
binance,BTCUSDT,usdm_futures,1779143400000,1779143400000,history_downloader,{},104286.096,8040969003.4704,
