exchange,symbol,market_type,timestamp_ms,received_at_ms,source,metadata,open_interest,open_interest_value,mark_price
binance,SOLUSDT,usdm_futures,1779129000000,1779129000000,history_downloader,{},9703385.05,812958739.3014463,
binance,SOLUSDT,usdm_futures,1779129300000,1779129300000,history_downloader,{},9711009.15,814343444.4572655,
binance,SOLUSDT,usdm_futures,1779129600000,1779129600000,history_downloader,{},9717208.33,814204885.9707,
binance,SOLUSDT,usdm_futures,1779129900000,1779129900000,history_downloader,{},9717973.33,814852063.7205,
binance,SOLUSDT,usdm_futures,1779130200000,1779130200000,history_downloader,{},9720624.62,814491136.9098,
binance,SOLUSDT,usdm_futures,1779130500000,1779130500000,history_downloader,{},9720861.17,813278914.2009282,
binance,SOLUSDT,usdm_futures,1779130800000,1779130800000,history_downloader,{},9754672.25,814320039.43,
binance,SOLUSDT,usdm_futures,1779131100000,1779131100000,history_downloader,{},9724992.03,823039489.7639065,
binance,SOLUSDT,usdm_futures,1779131400000,1779131400000,history_downloader,{},9720476.89,821769116.2806,
binance,SOLUSDT,usdm_futures,1779131700000,1779131700000,history_downloader,{},9716640.67,821639135.0552,
binance,SOLUSDT,usdm_futures,1779132000000,1779132000000,history_downloader,{},9699230.22,819584953.59,
binance,SOLUSDT,usdm_futures,1779132300000,1779132300000,history_downloader,{},9697362.37,818652766.4850308,
binance,SOLUSDT,usdm_futures,1779132600000,1779132600000,history_downloader,{},9693839.81,818257018.3621,
binance,SOLUSDT,usdm_futures,1779132900000,1779132900000,history_downloader,{},9693988.91,819142062.895,
binance,SOLUSDT,usdm_futures,1779133200000,1779133200000,history_downloader,{},9691749.21,820339646.6752677,
binance,SOLUSDT,usdm_futures,1779133500000,1779133500000,history_downloader,{},9686862.58,821930289.913,
binance,SOLUSDT,usdm_futures,1779133800000,1779133800000,history_downloader,{},9688173.63,822622822.9233,
binance,SOLUSDT,usdm_futures,1779134100000,1779134100000,history_downloader,{},9675812.4,822583905.0961696,
binance,SOLUSDT,usdm_futures,1779134400000,1779134400000,history_downloader,{},9698875.26,823942574.2917548,
binance,SOLUSDT,usdm_futures,1779134700000,1779134700000,history_downloader,{},9682729.06,823322451.9718,
binance,SOLUSDT,usdm_futures,1779135000000,1779135000000,history_downloader,{},9681474.38,823796654.9942,
binance,SOLUSDT,usdm_futures,1779135300000,1779135300000,history_downloader,{},9681677.62,825143500.1683836,
binance,SOLUSDT,usdm_futures,1779135600000,1779135600000,history_downloader,{},9671876.32,824624175.0432,
binance,SOLUSDT,usdm_futures,1779135900000,1779135900000,history_downloader,{},9668531.03,824923580.0730876,
binance,SOLUSDT,usdm_futures,1779136200000,1779136200000,history_downloader,{},9659787.87,823979905.311,
binance,SOLUSDT,usdm_futures,1779136500000,1779136500000,history_downloader,{},9651722.51,822317399.9279232,
binance,SOLUSDT,usdm_futures,1779136800000,1779136800000,history_downloader,{},9643216.3,820637707.13,
binance,SOLUSDT,usdm_futures,1779137100000,1779137100000,history_downloader,{},9641723.11,819642881.5811,
binance,SOLUSDT,usdm_futures,1779137400000,1779137400000,history_downloader,{},9635131.97,817830001.6136,
binance,SOLUSDT,usdm_futures,1779137700000,1779137700000,history_downloader,{},9637303.91,818231639.1129931,
binance,SOLUSDT,usdm_futures,1779138000000,1779138000000,history_downloader,{},9632362.79,817594953.6152,
binance,SOLUSDT,usdm_futures,1779138300000,1779138300000,history_downloader,{},9625368.6,816520018.338,
binance,SOLUSDT,usdm_futures,1779138600000,1779138600000,history_downloader,{},9616728.8,815690936.816,
binance,SOLUSDT,usdm_futures,1779138900000,1779138900000,history_downloader,{},9617449.05,817722524.0902789,
binance,SOLUSDT,usdm_futures,1779139200000,1779139200000,history_downloader,{},9617434.49,818251326.4092,
binance,SOLUSDT,usdm_futures,1779139500000,1779139500000,history_downloader,{},9612917.3,817872029.4210353,
binance,SOLUSDT,usdm_futures,1779139800000,1779139800000,history_downloader,{},9610285.77,819372964.7502,
binance,SOLUSDT,usdm_futures,1779140100000,1779140100000,history_downloader,{},9586634.21,818890294.2182,
binance,SOLUSDT,usdm_futures,1779140400000,1779140400000,history_downloader,{},9590074.77,819567789.8442,
binance,SOLUSDT,usdm_futures,1779140700000,1779140700000,history_downloader,{},9585734.38,819586602.0795186,
binance,SOLUSDT,usdm_futures,1779141000000,1779141000000,history_downloader,{},9587920.81,819191954.0064,
binance,SOLUSDT,usdm_futures,1779141300000,1779141300000,history_downloader,{},9587245.33,819901220.6216,
binance,SOLUSDT,usdm_futures,1779141600000,1779141600000,history_downloader,{},9588028.45,820064073.3285,
binance,SOLUSDT,usdm_futures,1779141900000,1779141900000,history_downloader,{},9604574.05,820806898.313,
binance,SOLUSDT,usdm_futures,1779142200000,1779142200000,history_downloader,{},9613871.31,822466690.5705,
binance,SOLUSDT,usdm_futures,1779142500000,1779142500000,history_downloader,{},9621920.13,823636363.128,
binance,SOLUSDT,usdm_futures,1779142800000,1779142800000,history_downloader,{},9631821.52,825134564.658635,
binance,SOLUSDT,usdm_futures,1779143100000,1779143100000,history_downloader,{},9634750.98,825046943.951269,
binance,SOLUSDT,usdm_futures,1779143400000,1779143400000,history_downloader,{},9636001.38,823974478.0038,
binance,SOLUSDT,usdm_futures,1779143700000,1779143700000,history_downloader,{},9636918.48,823603415.6149628,
binance,SOLUSDT,usdm_futures,1779144000000,1779144000000,history_downloader,{},9640687.03,824203489.3326912,
binance,SOLUSDT,usdm_futures,1779144300000,1779144300000,history_downloader,{},9642622.65,823136070.7517451,
binance,SOLUSDT,usdm_futures,1779144600000,1779144600000,history_downloader,{},9637404.83,821877883.9024,
binance,SOLUSDT,usdm_futures,1779144900000,1779144900000,history_downloader,{},9643079.37,822666985.713623,
binance,SOLUSDT,usdm_futures,1779145200000,1779145200000,history_downloader,{},9642423.51,823752240.4593,
binance,SOLUSDT,usdm_futures,1779145500000,1779145500000,history_downloader,{},9645829.59,824911346.5368,
binance,SOLUSDT,usdm_futures,1779145800000,1779145800000,history_downloader,{},9644851.44,824441901.0912,
binance,SOLUSDT,usdm_futures,1779146100000,1779146100000,history_downloader,{},9645156.16,823985690.7488,
binance,SOLUSDT,usdm_futures,1779146400000,1779146400000,history_downloader,{},9645990.4,823505368.958721,
binance,SOLUSDT,usdm_futures,1779146700000,1779146700000,history_downloader,{},9642868.52,823983115.034,
binance,SOLUSDT,usdm_futures,1779147000000,1779147000000,history_downloader,{},9640818.45,823546592.6675082,
binance,SOLUSDT,usdm_futures,1779147300000,1779147300000,history_downloader,{},9635920.3,822425797.605,
binance,SOLUSDT,usdm_futures,1779147600000,1779147600000,history_downloader,{},9633844.17,823211984.3265,
binance,SOLUSDT,usdm_futures,1779147900000,1779147900000,history_downloader,{},9630353.27,823410369.2133837,
binance,SOLUSDT,usdm_futures,1779148200000,1779148200000,history_downloader,{},9626381.47,821607337.6631771,
binance,SOLUSDT,usdm_futures,1779148500000,1779148500000,history_downloader,{},9631425.09,821158531.7802622,
binance,SOLUSDT,usdm_futures,1779148800000,1779148800000,history_downloader,{},9631656.23,821926105.4665,
binance,SOLUSDT,usdm_futures,1779149100000,1779149100000,history_downloader,{},9636726.35,821942127.6783992,
binance,SOLUSDT,usdm_futures,1779149400000,1779149400000,history_downloader,{},9644953.07,823725417.0022081,
