exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close
binance,usdm_futures,BTCUSDT,15m,1778840100000,1778840999999,80551.20000000,80551.20000000,80452.59850000,80467.30000000
binance,usdm_futures,BTCUSDT,15m,1778841000000,1778841899999,80467.20000000,80533.12539855,80404.86885507,80474.60000000
binance,usdm_futures,BTCUSDT,15m,1778841900000,1778842799999,80479.90000000,80730.00000000,80479.90000000,80670.10000000
binance,usdm_futures,BTCUSDT,15m,1778842800000,1778843699999,80671.16384058,80716.90000000,80551.04206897,80634.79773188
binance,usdm_futures,BTCUSDT,15m,1778843700000,1778844599999,80634.79773188,80675.80000000,80548.42928261,80587.22004348
binance,usdm_futures,BTCUSDT,15m,1778844600000,1778845499999,80587.39026087,80611.90000000,80545.00000000,80604.90000000
binance,usdm_futures,BTCUSDT,15m,1778845500000,1778846399999,80604.80000000,80666.90665942,80546.30000000,80582.77227536
binance,usdm_futures,BTCUSDT,15m,1778846400000,1778847299999,80582.29450000,80596.70000000,80350.00000000,80379.10000000
binance,usdm_futures,BTCUSDT,15m,1778847300000,1778848199999,80379.10000000,80541.20000000,80338.47863768,80497.80921014
binance,usdm_futures,BTCUSDT,15m,1778848200000,1778849099999,80497.81073188,80530.10000000,80357.53252899,80377.41367391
binance,usdm_futures,BTCUSDT,15m,1778849100000,1778849999999,80375.39410870,80408.01847826,80306.90000000,80349.90000000
binance,usdm_futures,BTCUSDT,15m,1778850000000,1778850899999,80349.90000000,80349.90000000,80038.81422789,80107.90000000
binance,usdm_futures,BTCUSDT,15m,1778850900000,1778851799999,80107.90000000,80172.30000000,79972.36576087,79974.10000000
binance,usdm_futures,BTCUSDT,15m,1778851800000,1778852699999,79974.10000000,79975.30000000,79064.27851574,79117.90000000
binance,usdm_futures,BTCUSDT,15m,1778852700000,1778853599999,79117.90000000,79251.02444203,78663.57094453,78722.10000000
binance,usdm_futures,BTCUSDT,15m,1778853600000,1778854499999,78722.20000000,79306.85196204,78627.98440580,79226.20000000
binance,usdm_futures,BTCUSDT,15m,1778854500000,1778855399999,79226.10000000,79285.80000000,78985.30000000,79053.60000000
binance,usdm_futures,BTCUSDT,15m,1778855400000,1778856299999,79044.00000000,79257.90000000,78972.81751449,79191.40000000
binance,usdm_futures,BTCUSDT,15m,1778856300000,1778857199999,79193.56834783,79304.51341079,78934.96164918,79121.08421014
binance,usdm_futures,BTCUSDT,15m,1778857200000,1778858099999,79120.60000000,79291.70000000,79049.68635682,79201.66917391
