exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count
binance,usdm_futures,BTCUSDT,1h,1778850000000,1778853599999,80349.80,80349.80,78638.80,78727.80,37417.044,2969744635.81340,633492
binance,usdm_futures,BTCUSDT,1h,1778853600000,1778857199999,78727.80,79325.30,78610.00,79120.60,18928.541,1496119938.47910,432768
binance,usdm_futures,BTCUSDT,1h,1778857200000,1778860799999,79120.60,79337.90,78980.30,79118.00,6193.980,490309892.63320,176502
binance,usdm_futures,BTCUSDT,1h,1778860800000,1778864399999,79118.10,79363.70,79098.70,79264.70,3964.471,314042743.36060,127539
binance,usdm_futures,BTCUSDT,1h,1778864400000,1778867999999,79264.70,79475.80,79188.80,79432.10,3785.646,300384103.66040,110137
binance,usdm_futures,BTCUSDT,1h,1778868000000,1778871599999,79432.20,79532.10,79135.40,79241.20,3660.491,290339150.49200,112519
binance,usdm_futures,BTCUSDT,1h,1778871600000,1778875199999,79241.10,79257.90,79012.50,79104.20,3297.179,260806721.75220,95402
binance,usdm_futures,BTCUSDT,1h,1778875200000,1778878799999,79104.30,79185.00,78955.00,79081.10,2297.386,181677918.16880,70037
binance,usdm_futures,BTCUSDT,1h,1778878800000,1778882399999,79081.00,79168.00,78861.60,78931.30,2254.988,178203040.27860,62188
binance,usdm_futures,BTCUSDT,1h,1778882400000,1778885999999,78931.40,79113.70,78931.30,79070.10,1362.084,107648450.90170,43666
binance,usdm_futures,BTCUSDT,1h,1778886000000,1778889599999,79070.00,79135.30,79035.10,79074.00,1224.728,96854543.73040,34410
binance,usdm_futures,BTCUSDT,1h,1778889600000,1778893199999,79074.00,79199.70,79031.70,79075.60,1866.350,147668287.06010,47892
binance,usdm_futures,BTCUSDT,1h,1778893200000,1778896799999,79075.60,79155.90,78970.40,79128.50,1948.608,154040810.45790,48286
binance,usdm_futures,BTCUSDT,1h,1778896800000,1778900399999,79128.40,79178.00,79040.70,79113.90,1461.703,115634808.10020,43686
binance,usdm_futures,BTCUSDT,1h,1778900400000,1778903999999,79113.90,79153.70,79017.60,79041.70,1343.056,106227817.45440,36151
binance,usdm_futures,BTCUSDT,1h,1778904000000,1778907599999,79041.70,79096.80,78811.00,78999.90,3080.363,243227127.02320,67152
binance,usdm_futures,BTCUSDT,1h,1778907600000,1778911199999,78999.90,79001.00,78889.70,78989.90,1488.420,117533856.04790,38852
binance,usdm_futures,BTCUSDT,1h,1778911200000,1778914799999,78989.90,79012.90,78393.90,78610.20,9244.159,727174336.51080,161097
binance,usdm_futures,BTCUSDT,1h,1778914800000,1778918399999,78610.20,78610.30,78000.40,78334.30,13808.169,1081421215.93910,252741
binance,usdm_futures,BTCUSDT,1h,1778918400000,1778921999999,78334.30,78527.80,78291.00,78389.50,3590.485,281500532.04170,71522
binance,usdm_futures,BTCUSDT,1h,1778922000000,1778925599999,78389.50,78410.10,77850.00,78052.10,10664.700,832368337.50430,205419
binance,usdm_futures,BTCUSDT,1h,1778925600000,1778929199999,78052.10,78071.90,77601.80,77937.60,10160.386,790813704.34700,213702
binance,usdm_futures,BTCUSDT,1h,1778929200000,1778932799999,77937.50,78163.30,77937.50,78042.50,3897.654,304262349.30200,84911
binance,usdm_futures,BTCUSDT,1h,1778932800000,1778936399999,78042.50,78100.00,77889.00,77980.00,2627.039,204915956.35450,67969
binance,usdm_futures,BTCUSDT,1h,1778936400000,1778939999999,77980.00,77987.90,77800.00,77987.90,2790.145,217347962.73370,76643
binance,usdm_futures,BTCUSDT,1h,1778940000000,1778943599999,77987.90,78327.00,77850.50,78090.30,4921.309,384352381.78660,110670
binance,usdm_futures,BTCUSDT,1h,1778943600000,1778947199999,78090.30,78254.00,78034.00,78194.10,2455.911,191920261.77720,66580
binance,usdm_futures,BTCUSDT,1h,1778947200000,1778950799999,78194.00,78337.40,78069.10,78167.70,2931.052,229235025.58260,76544
binance,usdm_futures,BTCUSDT,1h,1778950800000,1778954399999,78167.70,78285.10,78159.10,78159.20,1043.525,81628062.08690,36904
binance,usdm_futures,BTCUSDT,1h,1778954400000,1778957999999,78159.10,78306.60,78113.10,78200.00,1625.933,127136995.84700,41861
binance,usdm_futures,BTCUSDT,1h,1778958000000,1778961599999,78200.00,78270.90,78166.80,78223.80,984.661,77024084.71330,30117
binance,usdm_futures,BTCUSDT,1h,1778961600000,1778965199999,78223.80,78287.80,78160.00,78214.70,767.876,60075201.57250,27640
binance,usdm_futures,BTCUSDT,1h,1778965200000,1778968799999,78214.70,78274.60,78167.50,78229.20,1283.883,100445548.00620,29396
binance,usdm_futures,BTCUSDT,1h,1778968800000,1778972399999,78229.20,78248.70,78133.30,78143.50,923.596,72214148.90830,27806
binance,usdm_futures,BTCUSDT,1h,1778972400000,1778975999999,78143.50,78240.00,78085.20,78104.20,1241.468,97035190.19930,30443
binance,usdm_futures,BTCUSDT,1h,1778976000000,1778979599999,78104.30,78213.90,77760.00,77915.40,3840.451,299642471.21920,70489
binance,usdm_futures,BTCUSDT,1h,1778979600000,1778983199999,77915.30,78085.40,77675.40,77688.10,5411.676,421351988.95240,133358
binance,usdm_futures,BTCUSDT,1h,1778983200000,1778986799999,77688.00,77913.60,77688.00,77856.30,2548.060,198339729.91540,66010
binance,usdm_futures,BTCUSDT,1h,1778986800000,1778990399999,77856.30,78050.00,77845.60,77990.20,1809.776,141104313.07100,49338
