exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close
binance,usdm_futures,BTCUSDT,1h,1778850000000,1778853599999,80349.90000000,80349.90000000,78663.57094453,78722.10000000
binance,usdm_futures,BTCUSDT,1h,1778853600000,1778857199999,78722.20000000,79306.85196204,78627.98440580,79121.08421014
binance,usdm_futures,BTCUSDT,1h,1778857200000,1778860799999,79120.60000000,79337.90000000,78985.24321014,79118.00000000
binance,usdm_futures,BTCUSDT,1h,1778860800000,1778864399999,79118.00000000,79360.20000000,79099.00000000,79264.60000000
binance,usdm_futures,BTCUSDT,1h,1778864400000,1778867999999,79264.60000000,79475.70000000,79194.00000000,79432.10000000
binance,usdm_futures,BTCUSDT,1h,1778868000000,1778871599999,79432.10000000,79533.61481884,79138.38142429,79262.46539730
binance,usdm_futures,BTCUSDT,1h,1778871600000,1778875199999,79259.59257121,79259.59257121,79023.30000000,79119.00000000
binance,usdm_futures,BTCUSDT,1h,1778875200000,1778878799999,79119.20000000,79185.00000000,78963.23717391,79082.83576087
binance,usdm_futures,BTCUSDT,1h,1778878800000,1778882399999,79082.83510870,79167.90000000,78888.83507246,78931.40000000
binance,usdm_futures,BTCUSDT,1h,1778882400000,1778885999999,78931.30000000,79114.74424288,78931.30000000,79070.10000000
binance,usdm_futures,BTCUSDT,1h,1778886000000,1778889599999,79070.00000000,79135.20000000,79035.10000000,79074.10000000
binance,usdm_futures,BTCUSDT,1h,1778889600000,1778893199999,79074.00000000,79200.16764093,79031.70000000,79068.88218116
binance,usdm_futures,BTCUSDT,1h,1778893200000,1778896799999,79069.45493478,79156.39656672,78970.50000000,79129.38952774
binance,usdm_futures,BTCUSDT,1h,1778896800000,1778900399999,79129.38952774,79178.00000000,79040.70000000,79121.64703898
binance,usdm_futures,BTCUSDT,1h,1778900400000,1778903999999,79121.64703898,79153.70000000,79017.60000000,79056.72271739
binance,usdm_futures,BTCUSDT,1h,1778904000000,1778907599999,79056.40532609,79094.10000000,78827.85829710,79001.87575362
binance,usdm_futures,BTCUSDT,1h,1778907600000,1778911199999,79001.88510145,79002.10684058,78900.10000000,78990.00000000
binance,usdm_futures,BTCUSDT,1h,1778911200000,1778914799999,78990.00000000,79012.80000000,78411.67547101,78610.20000000
binance,usdm_futures,BTCUSDT,1h,1778914800000,1778918399999,78610.30000000,78610.30000000,78019.30000000,78338.71647101
binance,usdm_futures,BTCUSDT,1h,1778918400000,1778921999999,78335.57299275,78505.39353093,78295.95543478,78394.31288406
binance,usdm_futures,BTCUSDT,1h,1778922000000,1778925599999,78394.29549275,78410.10000000,77885.42181884,78055.48665942
