exchange,market_type,symbol,funding_time_ms,funding_rate,mark_price
binance,usdm_futures,BTCUSDT,1778860800012,0.00001548,79118.00000000
binance,usdm_futures,BTCUSDT,1778889600005,0.00003938,79074.00000000
binance,usdm_futures,BTCUSDT,1778918400000,-0.00000210,78335.57299275
binance,usdm_futures,BTCUSDT,1778947200005,0.00004955,78194.10000000
binance,usdm_futures,BTCUSDT,1778976000000,0.00004037,78109.17541229
binance,usdm_futures,BTCUSDT,1779004800010,0.00001176,78138.66375362
binance,usdm_futures,BTCUSDT,1779033600009,0.00000048,78007.00000000
binance,usdm_futures,BTCUSDT,1779062400007,-0.00001131,77433.50000000
binance,usdm_futures,BTCUSDT,1779091200002,0.00005778,77039.50000000
binance,usdm_futures,BTCUSDT,1779120000007,0.00007178,76393.50000000
binance,usdm_futures,BTCUSDT,1779148800001,0.00005164,76963.20000000
binance,usdm_futures,BTCUSDT,1779177600001,0.00004809,77200.30000000
binance,usdm_futures,BTCUSDT,1779206400009,0.00005563,76487.90000000
binance,usdm_futures,BTCUSDT,1779235200001,0.00003254,76799.90000000
binance,usdm_futures,BTCUSDT,1779264000006,0.00007983,77250.47589205
binance,usdm_futures,BTCUSDT,1779292800000,0.00006858,77423.06879310
binance,usdm_futures,BTCUSDT,1779321600001,0.00001925,77510.37686957
binance,usdm_futures,BTCUSDT,1779350400000,0.00004003,77849.80779710
binance,usdm_futures,BTCUSDT,1779379200000,0.00006130,77231.30769565
binance,usdm_futures,BTCUSDT,1779408000000,0.00003564,77586.20000000
binance,usdm_futures,BTCUSDT,1779436800004,-0.00000820,77366.90000000
