exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count
binance,usdm_futures,ETHUSDT,1h,1778850000000,1778853599999,2253.07,2253.07,2208.96,2212.67,759070.003,1691993861.13484,655735
binance,usdm_futures,ETHUSDT,1h,1778853600000,1778857199999,2212.67,2223.11,2203.55,2212.34,497025.738,1099886326.79233,537861
binance,usdm_futures,ETHUSDT,1h,1778857200000,1778860799999,2212.34,2223.23,2208.80,2221.91,164474.435,364628476.06502,248642
binance,usdm_futures,ETHUSDT,1h,1778860800000,1778864399999,2221.92,2230.57,2217.55,2223.69,168060.496,373732980.78588,207888
binance,usdm_futures,ETHUSDT,1h,1778864400000,1778867999999,2223.68,2232.00,2223.01,2228.41,91907.373,204711812.48588,139497
binance,usdm_futures,ETHUSDT,1h,1778868000000,1778871599999,2228.40,2231.80,2223.42,2226.90,68950.011,153606263.25908,130380
binance,usdm_futures,ETHUSDT,1h,1778871600000,1778875199999,2226.90,2227.66,2221.21,2222.31,59490.745,132293307.48343,110566
binance,usdm_futures,ETHUSDT,1h,1778875200000,1778878799999,2222.30,2225.12,2215.71,2218.97,102470.021,227491047.94961,117511
binance,usdm_futures,ETHUSDT,1h,1778878800000,1778882399999,2218.96,2224.14,2213.09,2216.09,47436.263,105248404.11455,79603
binance,usdm_futures,ETHUSDT,1h,1778882400000,1778885999999,2216.09,2223.70,2215.89,2223.01,31432.653,69800341.22303,54268
binance,usdm_futures,ETHUSDT,1h,1778886000000,1778889599999,2223.01,2225.31,2221.71,2223.66,26730.459,59435752.93240,47195
binance,usdm_futures,ETHUSDT,1h,1778889600000,1778893199999,2223.65,2230.79,2222.76,2226.14,65440.385,145786079.76408,78460
binance,usdm_futures,ETHUSDT,1h,1778893200000,1778896799999,2226.13,2229.99,2222.37,2228.63,54978.013,122379011.69950,73719
binance,usdm_futures,ETHUSDT,1h,1778896800000,1778900399999,2228.63,2230.56,2225.87,2228.84,32599.458,72639225.73732,56485
binance,usdm_futures,ETHUSDT,1h,1778900400000,1778903999999,2228.84,2229.63,2225.67,2226.63,28637.170,63802472.04607,42903
binance,usdm_futures,ETHUSDT,1h,1778904000000,1778907599999,2226.63,2227.90,2216.54,2224.99,67324.300,149589968.63145,80985
binance,usdm_futures,ETHUSDT,1h,1778907600000,1778911199999,2225.00,2226.20,2221.82,2224.43,29952.709,66633904.15520,50896
binance,usdm_futures,ETHUSDT,1h,1778911200000,1778914799999,2224.42,2225.99,2208.00,2214.38,134063.986,297034637.52802,144421
binance,usdm_futures,ETHUSDT,1h,1778914800000,1778918399999,2214.39,2214.79,2180.12,2193.52,551124.238,1208872149.45929,485140
binance,usdm_futures,ETHUSDT,1h,1778918400000,1778921999999,2193.51,2196.06,2190.69,2192.24,76830.080,168542389.19850,91918
binance,usdm_futures,ETHUSDT,1h,1778922000000,1778925599999,2192.25,2192.89,2160.50,2172.50,429359.431,933326954.46026,411339
binance,usdm_futures,ETHUSDT,1h,1778925600000,1778929199999,2172.50,2174.31,2161.20,2172.99,203139.608,440591694.13171,227282
binance,usdm_futures,ETHUSDT,1h,1778929200000,1778932799999,2173.00,2180.46,2173.00,2175.33,95273.154,207418212.57859,111581
binance,usdm_futures,ETHUSDT,1h,1778932800000,1778936399999,2175.33,2178.56,2172.53,2175.41,65146.061,141742981.46248,89938
binance,usdm_futures,ETHUSDT,1h,1778936400000,1778939999999,2175.40,2179.95,2171.11,2176.16,77528.915,168632524.12610,103290
binance,usdm_futures,ETHUSDT,1h,1778940000000,1778943599999,2176.16,2187.42,2172.60,2178.97,123126.343,268278129.99961,137036
binance,usdm_futures,ETHUSDT,1h,1778943600000,1778947199999,2178.96,2182.90,2175.82,2178.95,52089.569,113531264.76503,81231
binance,usdm_futures,ETHUSDT,1h,1778947200000,1778950799999,2178.94,2182.79,2169.00,2173.29,94700.181,205966969.10923,115634
binance,usdm_futures,ETHUSDT,1h,1778950800000,1778954399999,2173.29,2179.99,2173.29,2177.87,46239.632,100673424.43204,59031
binance,usdm_futures,ETHUSDT,1h,1778954400000,1778957999999,2177.86,2184.33,2175.22,2180.59,43369.551,94545907.60002,56076
binance,usdm_futures,ETHUSDT,1h,1778958000000,1778961599999,2180.59,2182.00,2178.11,2178.71,25739.171,56107145.50391,35923
binance,usdm_futures,ETHUSDT,1h,1778961600000,1778965199999,2178.72,2182.23,2178.72,2180.40,18856.149,41119723.28824,35034
binance,usdm_futures,ETHUSDT,1h,1778965200000,1778968799999,2180.39,2182.77,2179.87,2181.47,19845.354,43291016.24959,34210
binance,usdm_futures,ETHUSDT,1h,1778968800000,1778972399999,2181.47,2182.38,2178.59,2179.37,23806.905,51908389.17454,42160
binance,usdm_futures,ETHUSDT,1h,1778972400000,1778975999999,2179.36,2182.00,2178.16,2179.66,24064.784,52465616.61250,34361
binance,usdm_futures,ETHUSDT,1h,1778976000000,1778979599999,2179.67,2184.79,2172.61,2176.64,73041.040,159205412.31144,79745
binance,usdm_futures,ETHUSDT,1h,1778979600000,1778983199999,2176.63,2182.78,2166.66,2168.22,147592.716,320736937.65435,178979
binance,usdm_futures,ETHUSDT,1h,1778983200000,1778986799999,2168.22,2175.47,2168.21,2173.34,46905.512,101912645.71208,81350
binance,usdm_futures,ETHUSDT,1h,1778986800000,1778990399999,2173.34,2183.71,2173.30,2180.57,57361.193,124997971.44415,75537
binance,usdm_futures,ETHUSDT,1h,1778990400000,1778993999999,2180.57,2188.98,2180.00,2186.30,105024.871,229529645.83385,103463
binance,usdm_futures,ETHUSDT,1h,1778994000000,1778997599999,2186.30,2194.90,2184.39,2184.90,92433.170,202367887.42157,93407
binance,usdm_futures,ETHUSDT,1h,1778997600000,1779001199999,2184.90,2187.00,2180.50,2184.04,44963.582,98166470.88825,58096
