exchange,market_type,symbol,funding_time_ms,funding_rate,mark_price
binance,usdm_futures,ETHUSDT,1778860800012,0.00001397,2222.07602137
binance,usdm_futures,ETHUSDT,1778889600005,0.00007065,2223.66000000
binance,usdm_futures,ETHUSDT,1778918400000,0.00004496,2193.64284685
binance,usdm_futures,ETHUSDT,1778947200005,0.00006508,2178.96686047
binance,usdm_futures,ETHUSDT,1778976000000,0.00007161,2179.66177626
binance,usdm_futures,ETHUSDT,1779004800010,0.00004855,2185.55332432
binance,usdm_futures,ETHUSDT,1779033600009,0.00005341,2185.49000000
binance,usdm_futures,ETHUSDT,1779062400007,0.00001925,2129.97725581
binance,usdm_futures,ETHUSDT,1779091200002,0.00000652,2119.54518605
binance,usdm_futures,ETHUSDT,1779120000007,0.00005159,2106.66000000
binance,usdm_futures,ETHUSDT,1779148800001,0.00010000,2129.07768645
binance,usdm_futures,ETHUSDT,1779177600001,0.00005687,2139.98153195
binance,usdm_futures,ETHUSDT,1779206400009,0.00003588,2109.37000000
binance,usdm_futures,ETHUSDT,1779235200001,0.00005523,2111.00000000
binance,usdm_futures,ETHUSDT,1779264000006,0.00003051,2128.80000000
binance,usdm_futures,ETHUSDT,1779292800000,0.00005290,2135.90934643
binance,usdm_futures,ETHUSDT,1779321600001,0.00005867,2128.60000000
binance,usdm_futures,ETHUSDT,1779350400000,0.00002532,2134.06349612
binance,usdm_futures,ETHUSDT,1779379200000,0.00003837,2131.54118290
binance,usdm_futures,ETHUSDT,1779408000000,0.00004926,2132.90000000
binance,usdm_futures,ETHUSDT,1779436800004,0.00003093,2127.51238739
