exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count
binance,usdm_futures,RIVERUSDT,1h,1778850000000,1778853599999,7.660000,7.958000,7.474000,7.643000,1102019.0,8494901.3341000,107802
binance,usdm_futures,RIVERUSDT,1h,1778853600000,1778857199999,7.644000,7.645000,7.274000,7.363000,744986.2,5589421.5390000,75083
binance,usdm_futures,RIVERUSDT,1h,1778857200000,1778860799999,7.364000,7.490000,7.278000,7.358000,480348.5,3545788.1634000,52382
binance,usdm_futures,RIVERUSDT,1h,1778860800000,1778864399999,7.357000,7.502000,7.301000,7.484000,352551.0,2607284.3861000,39393
binance,usdm_futures,RIVERUSDT,1h,1778864400000,1778867999999,7.484000,7.610000,7.452000,7.592000,330974.4,2499685.4943000,39639
binance,usdm_futures,RIVERUSDT,1h,1778868000000,1778871599999,7.592000,7.668000,7.453000,7.603000,269621.3,2039631.2753000,31839
binance,usdm_futures,RIVERUSDT,1h,1778871600000,1778875199999,7.602000,7.632000,7.528000,7.584000,160866.0,1219977.6955000,23269
binance,usdm_futures,RIVERUSDT,1h,1778875200000,1778878799999,7.583000,7.627000,7.519000,7.598000,185981.5,1410559.2422000,22507
binance,usdm_futures,RIVERUSDT,1h,1778878800000,1778882399999,7.600000,7.623000,7.453000,7.499000,205021.5,1544602.5753000,21148
binance,usdm_futures,RIVERUSDT,1h,1778882400000,1778885999999,7.500000,7.514000,7.370000,7.423000,150514.0,1120431.5989000,18160
binance,usdm_futures,RIVERUSDT,1h,1778886000000,1778889599999,7.423000,7.435000,7.231000,7.313000,543712.1,3976853.5926000,41563
binance,usdm_futures,RIVERUSDT,1h,1778889600000,1778893199999,7.315000,7.454000,7.244000,7.285000,273479.0,2012600.7787000,33953
binance,usdm_futures,RIVERUSDT,1h,1778893200000,1778896799999,7.286000,7.333000,7.169000,7.275000,347905.9,2517975.7053000,37943
binance,usdm_futures,RIVERUSDT,1h,1778896800000,1778900399999,7.275000,7.330000,7.021000,7.096000,392893.0,2813686.0341000,41171
binance,usdm_futures,RIVERUSDT,1h,1778900400000,1778903999999,7.096000,7.172000,7.075000,7.128000,205996.4,1466641.7335000,25081
binance,usdm_futures,RIVERUSDT,1h,1778904000000,1778907599999,7.127000,7.188000,6.962000,7.069000,351822.1,2482305.1952000,36895
binance,usdm_futures,RIVERUSDT,1h,1778907600000,1778911199999,7.070000,7.111000,6.976000,7.001000,174719.8,1225968.9195000,21131
binance,usdm_futures,RIVERUSDT,1h,1778911200000,1778914799999,7.002000,7.113000,6.906000,7.094000,434183.0,3039082.3130000,40664
binance,usdm_futures,RIVERUSDT,1h,1778914800000,1778918399999,7.095000,7.174000,6.940000,6.989000,511557.3,3608721.4278000,49697
binance,usdm_futures,RIVERUSDT,1h,1778918400000,1778921999999,6.990000,7.139000,6.958000,7.133000,216164.7,1526280.3357000,28148
binance,usdm_futures,RIVERUSDT,1h,1778922000000,1778925599999,7.133000,7.238000,7.079000,7.199000,353945.8,2532287.5504000,38580
binance,usdm_futures,RIVERUSDT,1h,1778925600000,1778929199999,7.197000,7.330000,7.112000,7.322000,402548.4,2910614.5388000,37456
binance,usdm_futures,RIVERUSDT,1h,1778929200000,1778932799999,7.321000,7.543000,7.281000,7.478000,483301.0,3581839.9253000,45464
binance,usdm_futures,RIVERUSDT,1h,1778932800000,1778936399999,7.476000,7.923000,7.476000,7.639000,1516064.2,11676891.0850000,125385
binance,usdm_futures,RIVERUSDT,1h,1778936400000,1778939999999,7.640000,7.665000,7.412000,7.564000,945181.0,7114546.1529000,98751
binance,usdm_futures,RIVERUSDT,1h,1778940000000,1778943599999,7.564000,7.583000,7.471000,7.516000,291614.2,2193565.9593000,38376
binance,usdm_futures,RIVERUSDT,1h,1778943600000,1778947199999,7.515000,7.564000,7.273000,7.473000,753639.6,5588125.4988000,74109
binance,usdm_futures,RIVERUSDT,1h,1778947200000,1778950799999,7.473000,7.628000,7.433000,7.581000,425587.8,3207021.5579000,47656
binance,usdm_futures,RIVERUSDT,1h,1778950800000,1778954399999,7.583000,7.670000,7.542000,7.624000,265074.0,2017641.3326000,31441
binance,usdm_futures,RIVERUSDT,1h,1778954400000,1778957999999,7.623000,7.714000,7.591000,7.690000,209414.1,1603291.2114000,24249
binance,usdm_futures,RIVERUSDT,1h,1778958000000,1778961599999,7.690000,7.813000,7.687000,7.795000,246941.0,1915669.4924000,27189
binance,usdm_futures,RIVERUSDT,1h,1778961600000,1778965199999,7.796000,7.859000,7.634000,7.696000,411158.9,3190737.4088000,39042
