exchange,market_type,symbol,timeframe,open_time_ms,close_time_ms,open,high,low,close
binance,usdm_futures,RIVERUSDT,1h,1778850000000,1778853599999,7.65792315,7.90939730,7.49600000,7.64616565
binance,usdm_futures,RIVERUSDT,1h,1778853600000,1778857199999,7.64300000,7.64300000,7.33099635,7.34913458
binance,usdm_futures,RIVERUSDT,1h,1778857200000,1778860799999,7.35080472,7.48439226,7.29290632,7.35450660
binance,usdm_futures,RIVERUSDT,1h,1778860800000,1778864399999,7.35504410,7.50000000,7.30493174,7.48600000
binance,usdm_futures,RIVERUSDT,1h,1778864400000,1778867999999,7.48600000,7.60500000,7.45810705,7.58918459
binance,usdm_futures,RIVERUSDT,1h,1778868000000,1778871599999,7.58993459,7.66582083,7.45104428,7.60061650
binance,usdm_futures,RIVERUSDT,1h,1778871600000,1778875199999,7.60099150,7.62300000,7.53300000,7.58400000
binance,usdm_futures,RIVERUSDT,1h,1778875200000,1778878799999,7.58400000,7.62329931,7.51900000,7.59800000
binance,usdm_futures,RIVERUSDT,1h,1778878800000,1778882399999,7.59800000,7.62100000,7.45700000,7.49716625
binance,usdm_futures,RIVERUSDT,1h,1778882400000,1778885999999,7.49716625,7.51257585,7.37888110,7.42600000
binance,usdm_futures,RIVERUSDT,1h,1778886000000,1778889599999,7.42300000,7.43145674,7.22956287,7.31350045
binance,usdm_futures,RIVERUSDT,1h,1778889600000,1778893199999,7.31300000,7.45218806,7.25193004,7.28600000
binance,usdm_futures,RIVERUSDT,1h,1778893200000,1778896799999,7.28600000,7.32900000,7.18100000,7.27500000
binance,usdm_futures,RIVERUSDT,1h,1778896800000,1778900399999,7.27500000,7.32089416,7.07900000,7.09422875
binance,usdm_futures,RIVERUSDT,1h,1778900400000,1778903999999,7.09426625,7.16700000,7.07576604,7.12156725
binance,usdm_futures,RIVERUSDT,1h,1778904000000,1778907599999,7.12185240,7.17600000,6.97211398,7.06960793
binance,usdm_futures,RIVERUSDT,1h,1778907600000,1778911199999,7.06900000,7.10200000,6.97800000,7.00100000
binance,usdm_futures,RIVERUSDT,1h,1778911200000,1778914799999,7.00100000,7.09797158,6.90600000,7.08795287
binance,usdm_futures,RIVERUSDT,1h,1778914800000,1778918399999,7.08935522,7.15905938,6.93744951,6.98900000
binance,usdm_futures,RIVERUSDT,1h,1778918400000,1778921999999,6.98900000,7.13800000,6.95529328,7.12499037
binance,usdm_futures,RIVERUSDT,1h,1778922000000,1778925599999,7.12376537,7.22400000,7.08201943,7.19700000
binance,usdm_futures,RIVERUSDT,1h,1778925600000,1778929199999,7.19716253,7.32596520,7.11385807,7.32400000
binance,usdm_futures,RIVERUSDT,1h,1778929200000,1778932799999,7.32395573,7.53015421,7.28122074,7.47200372
binance,usdm_futures,RIVERUSDT,1h,1778932800000,1778936399999,7.47180080,7.90793493,7.47167580,7.64300000
binance,usdm_futures,RIVERUSDT,1h,1778936400000,1778939999999,7.64100000,7.66100000,7.44638199,7.55900000
binance,usdm_futures,RIVERUSDT,1h,1778940000000,1778943599999,7.56400000,7.57577444,7.47288691,7.51000094
binance,usdm_futures,RIVERUSDT,1h,1778943600000,1778947199999,7.51000094,7.55591686,7.28200000,7.47237501
binance,usdm_futures,RIVERUSDT,1h,1778947200000,1778950799999,7.47237501,7.61400000,7.44255985,7.58100000
binance,usdm_futures,RIVERUSDT,1h,1778950800000,1778954399999,7.58100000,7.65900000,7.54600000,7.62900000
binance,usdm_futures,RIVERUSDT,1h,1778954400000,1778957999999,7.62900000,7.70800000,7.59500000,7.68932083
binance,usdm_futures,RIVERUSDT,1h,1778958000000,1778961599999,7.68932083,7.80082097,7.68800000,7.79435760
binance,usdm_futures,RIVERUSDT,1h,1778961600000,1778965199999,7.79435760,7.85268213,7.63877846,7.69700000
binance,usdm_futures,RIVERUSDT,1h,1778965200000,1778968799999,7.69600000,7.75089533,7.61800000,7.72869585
binance,usdm_futures,RIVERUSDT,1h,1778968800000,1778972399999,7.72919585,7.79094127,7.53100000,7.56500000
binance,usdm_futures,RIVERUSDT,1h,1778972400000,1778975999999,7.56500000,7.59800000,7.46195302,7.48635544
binance,usdm_futures,RIVERUSDT,1h,1778976000000,1778979599999,7.48635544,7.56800000,7.45700000,7.53874269
binance,usdm_futures,RIVERUSDT,1h,1778979600000,1778983199999,7.54028784,7.55851599,7.33100000,7.33800000
binance,usdm_futures,RIVERUSDT,1h,1778983200000,1778986799999,7.34059434,7.41800000,7.23300000,7.23949730
binance,usdm_futures,RIVERUSDT,1h,1778986800000,1778990399999,7.24233480,7.42500000,7.24020107,7.41100000
binance,usdm_futures,RIVERUSDT,1h,1778990400000,1778993999999,7.41000000,7.53500000,7.36787686,7.53448057
binance,usdm_futures,RIVERUSDT,1h,1778994000000,1778997599999,7.53448057,7.59800000,7.33800000,7.58530192
binance,usdm_futures,RIVERUSDT,1h,1778997600000,1779001199999,7.58517692,7.73200000,7.51700000,7.51900000
binance,usdm_futures,RIVERUSDT,1h,1779001200000,1779004799999,7.51600000,7.56741887,7.36364834,7.45100000
binance,usdm_futures,RIVERUSDT,1h,1779004800000,1779008399999,7.45000000,7.46260843,7.37495822,7.44700000
binance,usdm_futures,RIVERUSDT,1h,1779008400000,1779011999999,7.44700000,7.46100000,7.33800000,7.43338768
binance,usdm_futures,RIVERUSDT,1h,1779012000000,1779015599999,7.43338768,7.60900000,7.41732167,7.54100000
binance,usdm_futures,RIVERUSDT,1h,1779015600000,1779019199999,7.54100000,7.70600000,7.38841796,7.44000000
binance,usdm_futures,RIVERUSDT,1h,1779019200000,1779022799999,7.43600000,7.58941241,7.43100000,7.54376709
binance,usdm_futures,RIVERUSDT,1h,1779022800000,1779026399999,7.54402898,7.60804603,7.49024048,7.52500000
binance,usdm_futures,RIVERUSDT,1h,1779026400000,1779029999999,7.52538082,7.63400000,7.42000000,7.43700000
binance,usdm_futures,RIVERUSDT,1h,1779030000000,1779033599999,7.43800000,7.47700000,7.36792967,7.39983440
binance,usdm_futures,RIVERUSDT,1h,1779033600000,1779037199999,7.39995940,7.47308806,7.37083744,7.40200000
binance,usdm_futures,RIVERUSDT,1h,1779037200000,1779040799999,7.40200000,7.40200000,7.24400000,7.33800000
binance,usdm_futures,RIVERUSDT,1h,1779040800000,1779044399999,7.33800000,7.43092057,7.27400000,7.43051294
binance,usdm_futures,RIVERUSDT,1h,1779044400000,1779047999999,7.43051294,7.58200000,7.43051294,7.53900000
binance,usdm_futures,RIVERUSDT,1h,1779048000000,1779051599999,7.53900000,7.58696966,7.40263808,7.51700000
binance,usdm_futures,RIVERUSDT,1h,1779051600000,1779055199999,7.51714583,7.67232714,7.50659853,7.60558750
binance,usdm_futures,RIVERUSDT,1h,1779055200000,1779058799999,7.60591042,7.62600000,7.47400000,7.49800000
binance,usdm_futures,RIVERUSDT,1h,1779058800000,1779062399999,7.49800000,7.53171302,7.04500000,7.26100000
binance,usdm_futures,RIVERUSDT,1h,1779062400000,1779065999999,7.26000000,7.30200000,7.09620338,7.28995595
binance,usdm_futures,RIVERUSDT,1h,1779066000000,1779069599999,7.28983095,7.32400000,7.19515014,7.27800000
binance,usdm_futures,RIVERUSDT,1h,1779069600000,1779073199999,7.27800000,7.42974422,7.24929267,7.39750027
binance,usdm_futures,RIVERUSDT,1h,1779073200000,1779076799999,7.39737518,7.42980623,7.23827776,7.29100000
binance,usdm_futures,RIVERUSDT,1h,1779076800000,1779080399999,7.29200000,7.41617123,7.28990355,7.39400000
binance,usdm_futures,RIVERUSDT,1h,1779080400000,1779083999999,7.39400000,7.50101134,7.27247116,7.27610439
binance,usdm_futures,RIVERUSDT,1h,1779084000000,1779087599999,7.27680940,7.55076238,7.27680940,7.45678493
binance,usdm_futures,RIVERUSDT,1h,1779087600000,1779091199999,7.45653488,7.53157412,7.42300000,7.49544002
binance,usdm_futures,RIVERUSDT,1h,1779091200000,1779094799999,7.49531502,7.60223039,7.44986125,7.59800000
binance,usdm_futures,RIVERUSDT,1h,1779094800000,1779098399999,7.59800000,7.65671088,7.56946848,7.64900000
binance,usdm_futures,RIVERUSDT,1h,1779098400000,1779101999999,7.65100000,7.80163592,7.62700000,7.79200000
binance,usdm_futures,RIVERUSDT,1h,1779102000000,1779105599999,7.79200000,7.90800000,7.67173767,7.86106127
binance,usdm_futures,RIVERUSDT,1h,1779105600000,1779109199999,7.86231626,8.01487313,7.81427379,7.88000000
binance,usdm_futures,RIVERUSDT,1h,1779109200000,1779112799999,7.88700000,8.02871229,7.71325197,7.74124741
binance,usdm_futures,RIVERUSDT,1h,1779112800000,1779116399999,7.74462952,7.81837696,7.58400000,7.67800000
binance,usdm_futures,RIVERUSDT,1h,1779116400000,1779119999999,7.67900000,7.68700000,7.53206699,7.53632463
binance,usdm_futures,RIVERUSDT,1h,1779120000000,1779123599999,7.53632463,7.62200000,7.49618910,7.61200000
binance,usdm_futures,RIVERUSDT,1h,1779123600000,1779127199999,7.61200000,7.70004771,7.57600000,7.59400000
binance,usdm_futures,RIVERUSDT,1h,1779127200000,1779130799999,7.59400000,7.60000000,7.49669178,7.52200000
binance,usdm_futures,RIVERUSDT,1h,1779130800000,1779134399999,7.52200000,7.58945528,7.43245606,7.51800000
binance,usdm_futures,RIVERUSDT,1h,1779134400000,1779137999999,7.51800000,7.54700000,7.40516217,7.44439914
binance,usdm_futures,RIVERUSDT,1h,1779138000000,1779141599999,7.44439914,7.50266577,7.41202848,7.49593458
binance,usdm_futures,RIVERUSDT,1h,1779141600000,1779145199999,7.49593458,7.53503279,7.42300000,7.45000000
binance,usdm_futures,RIVERUSDT,1h,1779145200000,1779148799999,7.45100000,7.52443889,7.36000000,7.37100000
binance,usdm_futures,RIVERUSDT,1h,1779148800000,1779152399999,7.36800000,7.45141867,7.32500000,7.37467347
binance,usdm_futures,RIVERUSDT,1h,1779152400000,1779155999999,7.37504847,7.38800000,7.28104448,7.28104448
binance,usdm_futures,RIVERUSDT,1h,1779156000000,1779159599999,7.28200000,7.32210544,7.16600000,7.22700000
binance,usdm_futures,RIVERUSDT,1h,1779159600000,1779163199999,7.22683972,7.25299925,7.18062752,7.20040205
binance,usdm_futures,RIVERUSDT,1h,1779163200000,1779166799999,7.20040205,7.33466582,7.18115706,7.31130649
binance,usdm_futures,RIVERUSDT,1h,1779166800000,1779170399999,7.31130649,7.33974053,7.22532484,7.30900000
binance,usdm_futures,RIVERUSDT,1h,1779170400000,1779173999999,7.30900000,7.34889681,7.22920973,7.24178882
binance,usdm_futures,RIVERUSDT,1h,1779174000000,1779177599999,7.24272632,7.26900000,7.17800000,7.18526963
binance,usdm_futures,RIVERUSDT,1h,1779177600000,1779181199999,7.18500000,7.22200000,7.11360606,7.11728365
binance,usdm_futures,RIVERUSDT,1h,1779181200000,1779184799999,7.11728365,7.15651388,7.05681648,7.11600000
binance,usdm_futures,RIVERUSDT,1h,1779184800000,1779188399999,7.11515261,7.11986537,6.95598029,6.98630438
binance,usdm_futures,RIVERUSDT,1h,1779188400000,1779191999999,6.98617938,7.02471722,6.63400000,6.74649000
binance,usdm_futures,RIVERUSDT,1h,1779192000000,1779195599999,6.74638696,6.80400000,6.55564533,6.65692380
binance,usdm_futures,RIVERUSDT,1h,1779195600000,1779199199999,6.65692380,6.65865600,6.37881732,6.49300000
binance,usdm_futures,RIVERUSDT,1h,1779199200000,1779202799999,6.49400000,6.49500000,6.25320902,6.25371099
binance,usdm_futures,RIVERUSDT,1h,1779202800000,1779206399999,6.25500000,6.29400000,6.10000000,6.16957931
binance,usdm_futures,RIVERUSDT,1h,1779206400000,1779209999999,6.17051283,6.29602640,6.08371120,6.29476361
binance,usdm_futures,RIVERUSDT,1h,1779210000000,1779213599999,6.29460109,6.31844545,6.16696566,6.29100000
binance,usdm_futures,RIVERUSDT,1h,1779213600000,1779217199999,6.29200000,6.32200000,6.21104115,6.24503833
binance,usdm_futures,RIVERUSDT,1h,1779217200000,1779220799999,6.24400000,6.31845620,6.22875765,6.23797529
binance,usdm_futures,RIVERUSDT,1h,1779220800000,1779224399999,6.23804546,6.32833543,6.22551765,6.29359127
binance,usdm_futures,RIVERUSDT,1h,1779224400000,1779227999999,6.29310377,6.31432685,6.27500000,6.28100000
binance,usdm_futures,RIVERUSDT,1h,1779228000000,1779231599999,6.28100000,6.30650333,6.25223684,6.28300000
binance,usdm_futures,RIVERUSDT,1h,1779231600000,1779235199999,6.28300000,6.34451382,6.26100000,6.28304409
binance,usdm_futures,RIVERUSDT,1h,1779235200000,1779238799999,6.28304409,6.30396182,6.15410490,6.16355973
binance,usdm_futures,RIVERUSDT,1h,1779238800000,1779242399999,6.16355973,6.37700000,6.08970979,6.29500000
binance,usdm_futures,RIVERUSDT,1h,1779242400000,1779245999999,6.29300000,6.34692248,6.20046835,6.21900000
binance,usdm_futures,RIVERUSDT,1h,1779246000000,1779249599999,6.21900000,6.36128741,6.19845646,6.32174510
binance,usdm_futures,RIVERUSDT,1h,1779249600000,1779253199999,6.32100000,6.37007601,6.25700000,6.32064394
binance,usdm_futures,RIVERUSDT,1h,1779253200000,1779256799999,6.32064392,6.34800000,6.27678509,6.34400000
binance,usdm_futures,RIVERUSDT,1h,1779256800000,1779260399999,6.34309948,6.35610631,6.28083764,6.29197416
binance,usdm_futures,RIVERUSDT,1h,1779260400000,1779263999999,6.29197416,6.29201626,6.19386353,6.21295150
binance,usdm_futures,RIVERUSDT,1h,1779264000000,1779267599999,6.21184249,6.30301736,6.13700000,6.22100000
binance,usdm_futures,RIVERUSDT,1h,1779267600000,1779271199999,6.22009184,6.27400000,6.19400000,6.21299205
binance,usdm_futures,RIVERUSDT,1h,1779271200000,1779274799999,6.21300000,6.23768199,6.16075507,6.17569107
binance,usdm_futures,RIVERUSDT,1h,1779274800000,1779278399999,6.17550355,6.20070380,6.12176976,6.12714958
binance,usdm_futures,RIVERUSDT,1h,1779278400000,1779281999999,6.12714958,6.22127686,6.07300000,6.17155423
binance,usdm_futures,RIVERUSDT,1h,1779282000000,1779285599999,6.16955753,6.23469584,6.12388536,6.21445461
binance,usdm_futures,RIVERUSDT,1h,1779285600000,1779289199999,6.21471711,6.24323116,6.17700000,6.21227842
binance,usdm_futures,RIVERUSDT,1h,1779289200000,1779292799999,6.21247842,6.22784096,6.16049481,6.19900000
binance,usdm_futures,RIVERUSDT,1h,1779292800000,1779296399999,6.19900000,6.22482128,6.14145526,6.18045456
binance,usdm_futures,RIVERUSDT,1h,1779296400000,1779299999999,6.17931706,6.20899165,6.17457428,6.20400000
binance,usdm_futures,RIVERUSDT,1h,1779300000000,1779303599999,6.20400000,6.29600000,6.20400000,6.22923329
binance,usdm_futures,RIVERUSDT,1h,1779303600000,1779307199999,6.23100000,6.23100000,6.16000000,6.20200000
binance,usdm_futures,RIVERUSDT,1h,1779307200000,1779310799999,6.20500000,6.20600000,6.18200000,6.20507500
binance,usdm_futures,RIVERUSDT,1h,1779310800000,1779314399999,6.20507500,6.24359637,6.18100000,6.21004510
binance,usdm_futures,RIVERUSDT,1h,1779314400000,1779317999999,6.21000000,6.23528047,6.17878850,6.22030634
binance,usdm_futures,RIVERUSDT,1h,1779318000000,1779321599999,6.22030634,6.23400000,6.11100000,6.16982207
binance,usdm_futures,RIVERUSDT,1h,1779321600000,1779325199999,6.16982207,6.25032906,6.16811328,6.23712750
binance,usdm_futures,RIVERUSDT,1h,1779325200000,1779328799999,6.23700000,6.25674296,6.19100000,6.19400000
binance,usdm_futures,RIVERUSDT,1h,1779328800000,1779332399999,6.19400000,6.24511703,6.17378787,6.20600000
binance,usdm_futures,RIVERUSDT,1h,1779332400000,1779335999999,6.20800000,6.25892586,6.19569578,6.23500000
binance,usdm_futures,RIVERUSDT,1h,1779336000000,1779339599999,6.23500000,6.27400000,6.17725491,6.24900000
binance,usdm_futures,RIVERUSDT,1h,1779339600000,1779343199999,6.24819000,6.25291094,6.15300000,6.18118761
binance,usdm_futures,RIVERUSDT,1h,1779343200000,1779346799999,6.18137511,6.21547637,6.17935680,6.19181875
binance,usdm_futures,RIVERUSDT,1h,1779346800000,1779350399999,6.19159375,6.21100000,6.14776570,6.20100917
binance,usdm_futures,RIVERUSDT,1h,1779350400000,1779353999999,6.20100917,6.22100000,6.17300000,6.19417002
binance,usdm_futures,RIVERUSDT,1h,1779354000000,1779357599999,6.19417002,6.21762793,6.17700000,6.18300000
binance,usdm_futures,RIVERUSDT,1h,1779357600000,1779361199999,6.18300000,6.21542496,6.15545113,6.19205174
binance,usdm_futures,RIVERUSDT,1h,1779361200000,1779364799999,6.19205174,6.26360833,6.17665659,6.21700000
binance,usdm_futures,RIVERUSDT,1h,1779364800000,1779368399999,6.21700000,6.33318188,6.18434622,6.33003356
binance,usdm_futures,RIVERUSDT,1h,1779368400000,1779371999999,6.32838147,6.36600000,6.27811937,6.30911981
binance,usdm_futures,RIVERUSDT,1h,1779372000000,1779375599999,6.30844481,6.38268302,6.27600000,6.29900000
binance,usdm_futures,RIVERUSDT,1h,1779375600000,1779379199999,6.29800000,6.35002168,6.28500000,6.30600000
binance,usdm_futures,RIVERUSDT,1h,1779379200000,1779382799999,6.30412130,6.38600000,6.28000000,6.36700000
binance,usdm_futures,RIVERUSDT,1h,1779382800000,1779386399999,6.36700000,6.60159160,6.36615768,6.55743224
binance,usdm_futures,RIVERUSDT,1h,1779386400000,1779389999999,6.55743222,6.77900064,6.55730697,6.71200000
binance,usdm_futures,RIVERUSDT,1h,1779390000000,1779393599999,6.71200000,6.96500000,6.69477457,6.86000000
binance,usdm_futures,RIVERUSDT,1h,1779393600000,1779397199999,6.86200000,7.01000000,6.77622423,6.79058080
binance,usdm_futures,RIVERUSDT,1h,1779397200000,1779400799999,6.79117472,6.95586303,6.79117472,6.84399753
binance,usdm_futures,RIVERUSDT,1h,1779400800000,1779404399999,6.84399753,6.88518623,6.75392285,6.78359711
binance,usdm_futures,RIVERUSDT,1h,1779404400000,1779407999999,6.78359709,6.84000000,6.73546058,6.79900000
binance,usdm_futures,RIVERUSDT,1h,1779408000000,1779411599999,6.79898853,6.89154061,6.76787432,6.77836487
binance,usdm_futures,RIVERUSDT,1h,1779411600000,1779415199999,6.77836487,6.86937048,6.70757962,6.75800000
binance,usdm_futures,RIVERUSDT,1h,1779415200000,1779418799999,6.75800000,6.77333598,6.68400000,6.74541137
binance,usdm_futures,RIVERUSDT,1h,1779418800000,1779422399999,6.74600000,6.77467740,6.63142227,6.67929792
binance,usdm_futures,RIVERUSDT,1h,1779422400000,1779425999999,6.67942292,6.73373088,6.65960297,6.67539749
binance,usdm_futures,RIVERUSDT,1h,1779426000000,1779429599999,6.67500000,6.75242414,6.66122949,6.75100000
binance,usdm_futures,RIVERUSDT,1h,1779429600000,1779433199999,6.75000000,6.82200000,6.65729791,6.78273001
binance,usdm_futures,RIVERUSDT,1h,1779433200000,1779436799999,6.78284588,6.79700000,6.70829618,6.72800000
binance,usdm_futures,RIVERUSDT,1h,1779436800000,1779440399999,6.72800000,6.85595638,6.68117182,6.85048415
binance,usdm_futures,RIVERUSDT,1h,1779440400000,1779443999999,6.85048415,6.91646384,6.80800000,6.82835578
binance,usdm_futures,RIVERUSDT,1h,1779444000000,1779447599999,6.82800000,6.88326577,6.75996496,6.78500000
binance,usdm_futures,RIVERUSDT,1h,1779447600000,1779451199999,6.78400000,6.82200000,6.74163924,6.79000000
