exchange,market_type,symbol,funding_time_ms,funding_rate,mark_price
binance,usdm_futures,RIVERUSDT,1778846400001,0.00027028,7.74300000
binance,usdm_futures,RIVERUSDT,1778860800012,0.00019782,7.35541910
binance,usdm_futures,RIVERUSDT,1778875200001,0.00023082,7.58400000
binance,usdm_futures,RIVERUSDT,1778889600005,0.00019837,7.31300000
binance,usdm_futures,RIVERUSDT,1778904000000,0.00015674,7.12235240
binance,usdm_futures,RIVERUSDT,1778918400000,0.00016990,6.98900000
binance,usdm_futures,RIVERUSDT,1778932800002,0.00022682,7.47180080
binance,usdm_futures,RIVERUSDT,1778947200005,0.00019852,7.47237501
binance,usdm_futures,RIVERUSDT,1778961600000,0.00023067,7.79435760
binance,usdm_futures,RIVERUSDT,1778976000000,0.00021254,7.48635544
binance,usdm_futures,RIVERUSDT,1778990400012,0.00026835,7.41000000
binance,usdm_futures,RIVERUSDT,1779004800010,0.00017449,7.45000000
binance,usdm_futures,RIVERUSDT,1779019200014,0.00024690,7.43600000
binance,usdm_futures,RIVERUSDT,1779033600009,0.00012507,7.39995940
binance,usdm_futures,RIVERUSDT,1779048000002,0.00026142,7.53900000
binance,usdm_futures,RIVERUSDT,1779062400007,0.00015651,7.26000000
binance,usdm_futures,RIVERUSDT,1779076800000,0.00007890,7.29200000
binance,usdm_futures,RIVERUSDT,1779091200002,0.00005570,7.49531502
binance,usdm_futures,RIVERUSDT,1779105600001,0.00006784,7.86272876
binance,usdm_futures,RIVERUSDT,1779120000007,0.00007558,7.53619963
binance,usdm_futures,RIVERUSDT,1779134400000,0.00005705,7.51800000
binance,usdm_futures,RIVERUSDT,1779148800001,0.00005000,7.36800000
binance,usdm_futures,RIVERUSDT,1779163200003,0.00005000,7.20040205
binance,usdm_futures,RIVERUSDT,1779177600001,0.00005000,7.18500000
binance,usdm_futures,RIVERUSDT,1779192000000,0.00005000,6.74563696
binance,usdm_futures,RIVERUSDT,1779206400009,0.00005000,6.17051283
binance,usdm_futures,RIVERUSDT,1779220800001,0.00005000,6.23804546
binance,usdm_futures,RIVERUSDT,1779235200001,0.00005000,6.28291909
binance,usdm_futures,RIVERUSDT,1779249600001,0.00005000,6.32100000
binance,usdm_futures,RIVERUSDT,1779264000006,0.00005000,6.21184249
binance,usdm_futures,RIVERUSDT,1779278400001,0.00005000,6.12714958
binance,usdm_futures,RIVERUSDT,1779292800000,0.00005000,6.19900000
binance,usdm_futures,RIVERUSDT,1779307200019,0.00005000,6.20500000
binance,usdm_futures,RIVERUSDT,1779321600001,0.00005000,6.16982207
binance,usdm_futures,RIVERUSDT,1779336000000,-0.00000561,6.23500000
binance,usdm_futures,RIVERUSDT,1779350400000,0.00005000,6.20100917
binance,usdm_futures,RIVERUSDT,1779364800000,0.00005000,6.21700000
binance,usdm_futures,RIVERUSDT,1779379200000,0.00005000,6.30412130
binance,usdm_futures,RIVERUSDT,1779393600001,0.00005000,6.86200000
binance,usdm_futures,RIVERUSDT,1779408000000,0.00005000,6.79898853
binance,usdm_futures,RIVERUSDT,1779422400000,0.00005000,6.67942292
binance,usdm_futures,RIVERUSDT,1779436800004,0.00005000,6.72800000
